player_id,player_name,team_id,team_name,position,price,price_estimate,start_prob,start_prob_source,minute_share,weighted_group_stage_ev,optimizer_ev,holdet_player_id,holdet_team_name,holdet_price,official_holdet_master,ev_rebased_to_holdet_master,ev_match_method,ev_match_score,goal_share_norm,assist_share_norm,sot_share_norm,match_1_opponent_team,match_1_kickoff,match_1_minutes_if_start,match_1_goal_ev,match_1_assist_ev,match_1_shots_on_target_ev,match_1_clean_sheet_ev,match_1_card_ev,match_1_result_ev,match_1_team_scores_ev,match_1_opponent_scores_ev,match_1_on_pitch_ev,match_1_start_minutes_ev,match_1_total_ev_next_match,match_1_weighted_match_ev,match_2_opponent_team,match_2_kickoff,match_2_minutes_if_start,match_2_goal_ev,match_2_assist_ev,match_2_shots_on_target_ev,match_2_clean_sheet_ev,match_2_card_ev,match_2_result_ev,match_2_team_scores_ev,match_2_opponent_scores_ev,match_2_on_pitch_ev,match_2_start_minutes_ev,match_2_total_ev_next_match,match_2_weighted_match_ev,match_3_opponent_team,match_3_kickoff,match_3_minutes_if_start,match_3_goal_ev,match_3_assist_ev,match_3_shots_on_target_ev,match_3_clean_sheet_ev,match_3_card_ev,match_3_result_ev,match_3_team_scores_ev,match_3_opponent_scores_ev,match_3_on_pitch_ev,match_3_start_minutes_ev,match_3_total_ev_next_match,match_3_weighted_match_ev,total_ev_group_stage,holdet_person_id,holdet_team_id,holdet_start_price,holdet_position,holdet_is_out,score,price_m,model_ev_before_price_quality,price_rank_pct_position,price_quality_ev,weighted_group_stage_ev_before_price_quality,optimizer_ev_before_price_quality,price_quality_weight,price_quality_applied,price_quality_spread_multiplier,name_norm,team_norm,position_norm,key_name_team_pos,key_name_team,key_token_team,round_context_source,price_quality_repair_source,match_1_win_prob,match_1_clean_sheet_prob,match_1_goal_multiplier,match_1_assist_multiplier,match_1_clean_sheet_multiplier,match_2_win_prob,match_2_clean_sheet_prob,match_2_goal_multiplier,match_2_assist_multiplier,match_2_clean_sheet_multiplier,match_3_win_prob,match_3_clean_sheet_prob,match_3_goal_multiplier,match_3_assist_multiplier,match_3_clean_sheet_multiplier,component_source,base_ev_source,repair_status,conditional_start_prob,appearance_prob,availability_prob,availability_risk,availability_status,round_specific_rotation_risk,start_security,start_probability_pct,start_status,price_quality_raw_ev,price_quality_appearance_scaled_ev,price_quality_base_capped_ev,price_quality_method
kerem_akt_rko_lu__tur,Kerem Akturkoglu,TUR,Tyrkiet,MID,4500000,4500000,0.904,transfermarkt_availability_split_2026_06_05,0.082182,4.889975,4.889975,49386,Tyrkiet,4500000,True,True,name_team_position,1.0,0.166,0.07,0.18,AUS,2026-06-14 06:00,67.445,0.359347,0.094619,0.259491,0.0,0.048108,0.120683,0.046965,-0.039972,0.05848,60.97028,2.478131,2.478131,PAR,2026-06-20 06:00,67.445,0.350535,0.09733,0.304684,0.0,0.048108,0.072405,0.05088,-0.036496,0.05848,60.97028,2.44651,2.324184,USA,2026-06-26 04:00,67.445,0.272957,0.080482,0.29302,0.0,0.048108,0.06849,0.05088,-0.037748,0.05848,60.97028,1.991245,1.792121,6.915886,40602,586,4500000,MID,False,,4.5,6.594436,0.927665,2.806744,6.594436,6.594436,0.45,True,1.35,kerem akturkoglu,tur,MID,kerem akturkoglu|tur|MID,kerem akturkoglu|tur,akturkoglu kerem|tur,,,,0.411,,,1.1204,,0.375,,,1.0718,,0.2766,,,0.9389,complete_components,component_weighted_sum,component_base_rebuilt,0.9225,,0.9426,low_risk,low_risk,,0.904,90,sikker starter - Transfermarkt landshold,2.806744,2.806744,2.806744,raw_for_likely_starter
jonathan_david__can,Jonathan David,CAN,Canada,FWD,4500000,4500000,0.9198,transfermarkt_availability_split_2026_06_05,0.083618,4.817902,4.817902,49311,Canada,4500000,True,True,name_team_position,1.0,0.139,0.085,0.166,BIH,2026-06-12 21:00,67.366,0.364706,0.139103,0.292198,0.0,0.048127,0.095303,0.081097,-0.05725,0.060376,61.963247,2.29973,2.29973,QAT,2026-06-19 00:00,67.366,0.463616,0.168301,0.297928,0.0,0.048127,0.12251,0.082841,-0.056159,0.060376,61.963247,2.818736,2.677799,SUI,2026-06-24 21:00,67.366,0.148206,0.068653,0.234905,0.0,0.048127,0.084552,0.072474,-0.064871,0.060376,61.963247,1.138092,1.024283,6.256558,41228,1059,4500000,FWD,False,,4.5,6.001812,0.82197,3.370901,6.001812,6.001812,0.45,True,1.35,jonathan david,can,FWD,jonathan david|can|FWD,jonathan david|can,david jonathan|can,,,,0.4226,,,1.136,,0.5774,,,1.3451,,0.25,,,0.903,complete_components,component_weighted_sum,component_base_rebuilt,0.9684,,0.8569,low_risk,low_risk,,0.9198,92,sikker starter - Transfermarkt landshold,3.370901,3.370901,3.370901,raw_for_likely_starter
cristiano_ronaldo__por,Cristiano Ronaldo,POR,Portugal,FWD,7000000,7000000,0.9167,transfermarkt_availability_split_2026_06_05,0.083336,4.669223,4.669223,48970,Portugal,7000000,True,True,name_team_position,1.0,0.102,0.055,0.107,COD,2026-06-17 19:00,67.242,0.349091,0.111212,0.196778,0.0,0.048148,0.165411,0.068104,-0.045148,0.060004,61.640741,2.127001,2.127001,UZB,2026-06-23 19:00,67.242,0.360535,0.116117,0.203058,0.0,0.048148,0.107658,0.069221,-0.043563,0.060004,61.640741,2.138721,2.031785,COL,2026-06-28 01:30,67.242,0.195016,0.068598,0.161191,0.0,0.048148,0.075798,0.061514,-0.051501,0.060004,61.640741,1.244716,1.120244,5.510438,20275,585,7000000,FWD,False,,7,5.27903,0.967803,3.923904,5.27903,5.27903,0.45,True,1.35,cristiano ronaldo,por,FWD,cristiano ronaldo|por|FWD,cristiano ronaldo|por,cristiano ronaldo|por,,,,0.5,,,1.2405,,0.5,,,1.2405,,0.3547,,,1.0443,complete_components,component_weighted_sum,component_base_rebuilt,0.97,,0.843,medium_risk,medium_risk,,0.9167,92,sikker starter - Transfermarkt landshold,3.923904,3.923904,3.923904,raw_for_likely_starter
vinicius_j_nior__bra,Vinicius Junior,BRA,Brasilien,FWD,7500000,7500000,0.887,transfermarkt_availability_split_2026_06_05,0.080636,4.645032,4.645032,49929,Brasilien,7500000,True,True,name_team_position,1.0,0.094,0.067,0.11,MAR,2026-06-14 00:00,67.422,0.271778,0.118307,0.187681,0.0,0.04692,0.132973,0.056809,-0.04025,0.05644,59.803314,1.788766,1.788766,HAI,2026-06-20 03:00,67.422,0.326846,0.138479,0.205406,0.0,0.04692,0.095046,0.058998,-0.036447,0.05644,59.803314,2.055344,1.952577,SCO,2026-06-25 00:00,67.422,0.262237,0.110784,0.164742,0.0,0.04692,0.067733,0.053532,-0.043272,0.05644,59.803314,1.633555,1.470199,5.477665,36736,764,7500000,FWD,False,,7.5,5.211542,0.975379,3.952632,5.211542,5.211542,0.45,True,1.35,vinicius junior,bra,FWD,vinicius junior|bra|FWD,vinicius junior|bra,junior vinicius|bra,,,,0.4624,,,1.1897,,0.6453,,,1.4367,,0.5,,,1.2405,complete_components,component_weighted_sum,component_base_rebuilt,0.9401,,0.8386,medium_risk,medium_risk,,0.887,89,sikker starter - Transfermarkt landshold,3.952632,3.952632,3.952632,raw_for_likely_starter
unai_sim_n__esp,Unai Simon,ESP,Spanien,GK,5000000,5000000,0.8605,transfermarkt_availability_split_2026_06_05+gk_hierarchy_normalized,0.078227,4.503452,4.503452,49920,Spanien,5000000,True,True,name_team_position,1.0,0.0,0.0,0.0,CPV,2026-06-15 18:00,79.72,0.0,0.0,0.0,0.537813,0.02297,0.190354,0.08605,-0.06884,0.05326,68.59906,1.74373,1.74373,KSA,2026-06-21 18:00,79.72,0.0,0.0,0.0,0.570253,0.02297,0.446308,0.08605,-0.06884,0.05326,68.59906,2.090516,1.985991,URU,2026-06-27 02:00,79.72,0.0,0.0,0.0,0.363647,0.02297,0.324592,0.08605,-0.06884,0.05326,68.59906,1.390304,1.251273,5.22455,35089,595,5000000,GK,False,,5,4.980994,0.965385,3.919789,4.980994,4.980994,0.45,True,1.35,unai simon,esp,GK,unai simon|esp|GK,unai simon|esp,simon unai|esp,,,,0.625,,,1.4093,,0.6627,,,1.45,,0.4226,,,1.136,complete_components,component_weighted_sum,component_base_rebuilt,0.8605,,0.9067,medium_risk,medium_risk,,0.8605,86,sandsynlig starter - GK hierarchy,3.919789,3.919789,3.919789,raw_for_likely_starter
lamine_yamal__esp,Lamine Yamal,ESP,Spanien,FWD,9000000,9000000,0.9024,transfermarkt_availability_split_2026_06_05,0.082036,4.281886,4.281886,49421,Spanien,9000000,True,True,name_team_position,1.0,0.065,0.043,0.075,CPV,2026-06-15 18:00,67.035,0.232352,0.091806,0.143011,0.0,0.046562,0.199623,0.09024,-0.072192,0.058288,60.492384,1.577234,1.577234,KSA,2026-06-21 18:00,67.035,0.226288,0.088341,0.139685,0.0,0.046562,0.46804,0.09024,-0.072192,0.058288,60.492384,1.807674,1.71729,URU,2026-06-27 02:00,67.035,0.163458,0.06648,0.114187,0.0,0.046562,0.340397,0.09024,-0.072192,0.058288,60.492384,1.33763,1.203867,4.722538,43796,595,9000000,FWD,False,,9,4.498391,0.992424,4.017268,4.498391,4.498391,0.45,True,1.35,lamine yamal,esp,FWD,lamine yamal|esp|FWD,lamine yamal|esp,lamine yamal|esp,,,,0.625,,,1.4093,,0.6627,,,1.45,,0.4226,,,1.136,complete_components,component_weighted_sum,component_base_rebuilt,0.9564,,0.8389,medium_risk,medium_risk,,0.9024,90,sikker starter - Transfermarkt landshold,4.017268,4.017268,4.017268,raw_for_likely_starter
ra_l_jim_nez__mex,Raul Jimenez,MEX,Mexico,FWD,4500000,4500000,0.7885,transfermarkt_availability_split_2026_06_05,0.071682,4.272211,4.272211,49754,Mexico,4500000,True,True,name_team_position,1.0,0.124,0.06,0.129,RSA,2026-06-11 21:00,67.352,0.362018,0.103908,0.201228,0.0,0.041455,0.126056,0.059877,-0.040162,0.046081,53.107052,2.111421,2.111421,KOR,2026-06-19 03:00,67.352,0.294381,0.088763,0.19691,0.0,0.041455,0.085534,0.058806,-0.040908,0.046081,53.107052,1.748781,1.661342,CZE,2026-06-25 03:00,67.352,0.227766,0.07077,0.168409,0.0,0.041455,0.068429,0.054531,-0.045055,0.046081,53.107052,1.374314,1.236883,5.234516,32272,775,4500000,FWD,False,,4.5,5.009646,0.82197,3.370901,5.009646,5.009646,0.45,True,1.35,raul jimenez,mex,FWD,raul jimenez|mex|FWD,raul jimenez|mex,jimenez raul|mex,,,,0.5376,,,1.2913,,0.4415,,,1.1615,,0.411,,,1.1204,complete_components,component_weighted_sum,component_base_rebuilt,0.9134,,0.6095,high_risk,high_risk,,0.7885,79,sandsynlig starter - Transfermarkt landshold,3.370901,3.370901,3.370901,raw_for_likely_starter
cody_gakpo__ned,Cody Gakpo,NED,Holland,FWD,6500000,6500000,0.9308,transfermarkt_availability_split_2026_06_05,0.084618,4.256056,4.256056,48964,Holland,6500000,True,True,name_team_position,1.0,0.093,0.054,0.111,JPN,2026-06-14 22:00,67.237,0.225711,0.084804,0.200367,0.0,0.04907,0.099865,0.066959,-0.046618,0.061696,62.5842,1.490455,1.490455,SWE,2026-06-20 19:00,67.237,0.277266,0.099536,0.202412,0.0,0.04907,0.099357,0.066959,-0.04616,0.061696,62.5842,1.742866,1.655723,TUN,2026-06-26 01:00,67.237,0.256681,0.09014,0.173788,0.0,0.04907,0.078838,0.062641,-0.050709,0.061696,62.5842,1.574328,1.416895,4.807649,37009,593,6500000,FWD,False,,6.5,4.563073,0.956439,3.880813,4.563073,4.563073,0.45,True,1.35,cody gakpo,ned,FWD,cody gakpo|ned|FWD,cody gakpo|ned,cody gakpo|ned,,,,0.3373,,,1.021,,0.4226,,,1.136,,0.4624,,,1.1897,complete_components,component_weighted_sum,component_base_rebuilt,0.9593,,0.915,low_risk,low_risk,,0.9308,93,sikker starter - Transfermarkt landshold,3.880813,3.880813,3.880813,raw_for_likely_starter
harry_kane__eng,Harry Kane,ENG,England,FWD,9500000,9500000,0.92,transfermarkt_availability_split_2026_06_05,0.083636,4.201545,4.201545,49172,England,9500000,True,True,name_team_position,1.0,0.082,0.042,0.087,CRO,2026-06-17 22:00,66.527,0.225259,0.07168,0.151148,0.0,0.048367,0.125667,0.076065,-0.054513,0.0604,61.20484,1.426476,1.426476,GHA,2026-06-23 22:00,66.527,0.282812,0.08817,0.159209,0.0,0.048367,0.122682,0.078519,-0.051452,0.0604,61.20484,1.716749,1.630912,PAN,2026-06-27 23:00,66.527,0.238737,0.072427,0.13301,0.0,0.048367,0.093239,0.07361,-0.058369,0.0604,61.20484,1.425752,1.283177,4.568977,29643,769,9500000,FWD,False,,9.5,4.340565,0.996212,4.031632,4.340565,4.340565,0.45,True,1.35,harry kane,eng,FWD,harry kane|eng|FWD,harry kane|eng,harry kane|eng,,,,0.4118,,,1.1214,,0.5,,,1.2405,,0.5376,,,1.2913,complete_components,component_weighted_sum,component_base_rebuilt,0.9495,,0.9113,low_risk,low_risk,,0.92,92,sikker starter - Transfermarkt landshold,4.031632,4.031632,4.031632,raw_for_likely_starter
mike_maignan__fra,Mike Maignan,FRA,Frankrig,GK,5000000,5000000,0.9407,transfermarkt_availability_split_2026_06_05+gk_hierarchy_normalized,0.085518,4.153485,4.153485,49562,Frankrig,5000000,True,True,name_team_position,1.0,0.001,0.0,0.0,SEN,2026-06-16 21:00,80.638,0.0,0.0,0.0,0.43498,0.024957,0.156895,0.090784,-0.062613,0.064,75.856167,1.442053,1.442053,IRQ,2026-06-22 23:00,80.638,0.0,0.0,0.0,0.623402,0.024957,0.145673,0.093608,-0.05872,0.064,75.856167,1.96513,1.866873,NOR,2026-06-26 21:00,80.638,0.0,0.0,0.0,0.352762,0.024957,0.107672,0.084452,-0.068051,0.064,75.856167,1.15085,1.035765,4.558033,31556,592,5000000,GK,False,,5,4.344691,0.965385,3.919789,4.344691,4.344691,0.45,True,1.35,mike maignan,fra,GK,mike maignan|fra|GK,mike maignan|fra,maignan mike|fra,,,,0.4624,,,1.1897,,0.6627,,,1.45,,0.375,,,1.0718,complete_components,component_weighted_sum,component_base_rebuilt,0.9407,0.95,0.9,low_risk,low_risk,medium,0.9407,94,sikker starter - GK hierarchy,3.919789,3.919789,3.919789,raw_for_likely_starter
