player_id,player_name,team_id,team_name,position,price,price_estimate,start_prob,start_prob_source,minute_share,weighted_group_stage_ev,optimizer_ev,holdet_player_id,holdet_team_name,holdet_price,official_holdet_master,ev_rebased_to_holdet_master,ev_match_method,ev_match_score,goal_share_norm,assist_share_norm,sot_share_norm,match_1_opponent_team,match_1_kickoff,match_1_minutes_if_start,match_1_goal_ev,match_1_assist_ev,match_1_shots_on_target_ev,match_1_clean_sheet_ev,match_1_card_ev,match_1_result_ev,match_1_team_scores_ev,match_1_opponent_scores_ev,match_1_on_pitch_ev,match_1_start_minutes_ev,match_1_total_ev_next_match,match_1_weighted_match_ev,match_2_opponent_team,match_2_kickoff,match_2_minutes_if_start,match_2_goal_ev,match_2_assist_ev,match_2_shots_on_target_ev,match_2_clean_sheet_ev,match_2_card_ev,match_2_result_ev,match_2_team_scores_ev,match_2_opponent_scores_ev,match_2_on_pitch_ev,match_2_start_minutes_ev,match_2_total_ev_next_match,match_2_weighted_match_ev,match_3_opponent_team,match_3_kickoff,match_3_minutes_if_start,match_3_goal_ev,match_3_assist_ev,match_3_shots_on_target_ev,match_3_clean_sheet_ev,match_3_card_ev,match_3_result_ev,match_3_team_scores_ev,match_3_opponent_scores_ev,match_3_on_pitch_ev,match_3_start_minutes_ev,match_3_total_ev_next_match,match_3_weighted_match_ev,total_ev_group_stage,holdet_person_id,holdet_team_id,holdet_start_price,holdet_position,holdet_is_out,score,price_m,model_ev_before_price_quality,price_rank_pct_position,price_quality_ev,weighted_group_stage_ev_before_price_quality,optimizer_ev_before_price_quality,price_quality_weight,price_quality_applied,price_quality_spread_multiplier,name_norm,team_norm,position_norm,key_name_team_pos,key_name_team,key_token_team,round_context_source,price_quality_repair_source,match_1_win_prob,match_1_clean_sheet_prob,match_1_goal_multiplier,match_1_assist_multiplier,match_1_clean_sheet_multiplier,match_2_win_prob,match_2_clean_sheet_prob,match_2_goal_multiplier,match_2_assist_multiplier,match_2_clean_sheet_multiplier,match_3_win_prob,match_3_clean_sheet_prob,match_3_goal_multiplier,match_3_assist_multiplier,match_3_clean_sheet_multiplier,component_source,base_ev_source,repair_status,conditional_start_prob,appearance_prob,availability_prob,availability_risk,availability_status,round_specific_rotation_risk,start_security,start_probability_pct,start_status,price_quality_raw_ev,price_quality_appearance_scaled_ev,price_quality_base_capped_ev,price_quality_method
jonathan_david__can,Jonathan David,CAN,Canada,FWD,4500000,4500000,0.8497,transfermarkt_availability_split_2026_06_05,0.077245,4.555854,4.555854,49311,Canada,4500000,True,True,name_team_position,1.0,0.139,0.085,0.166,BIH,2026-06-12 21:00,67.366,0.336911,0.128502,0.269929,0.0,0.044459,0.093252,0.079348,-0.056016,0.058,57.24089,2.133204,2.133204,QAT,2026-06-19 00:00,67.366,0.428283,0.155474,0.275222,0.0,0.044459,0.119872,0.081049,-0.054945,0.058,57.24089,2.614293,2.483578,SUI,2026-06-24 21:00,67.366,0.136911,0.063421,0.217002,0.0,0.044459,0.082731,0.070908,-0.063472,0.058,57.24089,1.058617,0.952755,5.806114,41228,1059,4500000,FWD,False,,4.5,5.569537,0.82197,3.316909,5.569537,5.569537,0.45,True,1.35,jonathan david,can,FWD,jonathan david|can|FWD,jonathan david|can,david jonathan|can,,,,0.4226,,,1.136,,0.5774,,,1.3451,,0.25,,,0.903,complete_components,component_weighted_sum,component_base_rebuilt,0.8945,,0.8569,low_risk,low_risk,,0.8497,85,sikker starter - Transfermarkt landshold,3.316909,3.316909,3.316909,appearance_scaled_then_base_capped
lionel_messi__arg,Lionel Messi,ARG,Argentina,FWD,8000000,8000000,0.7946,transfermarkt_availability_split_2026_06_05,0.072236,4.497475,4.497475,49442,Argentina,8000000,True,True,name_team_position,1.0,0.097,0.074,0.121,ALG,2026-06-17 03:00,67.06,0.282431,0.128569,0.189254,0.0,0.041142,0.152188,0.062844,-0.043304,0.057388,53.285876,1.892659,1.892659,AUT,2026-06-22 19:00,67.06,0.247966,0.114043,0.186511,0.0,0.041142,0.092172,0.062845,-0.044025,0.057388,53.285876,1.647742,1.565355,JOR,2026-06-28 04:00,67.06,0.259936,0.117855,0.174168,0.0,0.041142,0.083793,0.06075,-0.045416,0.057388,53.285876,1.68285,1.514565,5.223251,23259,762,8000000,FWD,False,,8,4.972579,0.982955,3.916793,4.972579,4.972579,0.45,True,1.35,lionel messi,arg,FWD,lionel messi|arg|FWD,lionel messi|arg,lionel messi|arg,,,,0.5135,,,1.2588,,0.4226,,,1.136,,0.5774,,,1.3451,complete_components,component_weighted_sum,component_base_rebuilt,0.8729,,0.7436,medium_risk,medium_risk,,0.7946,79,sandsynlig starter - Transfermarkt landshold,3.916793,3.916793,3.916793,appearance_scaled_then_base_capped
cristiano_ronaldo__por,Cristiano Ronaldo,POR,Portugal,FWD,7000000,7000000,0.8636,transfermarkt_availability_split_2026_06_05,0.078509,4.486692,4.486692,48970,Portugal,7000000,True,True,name_team_position,1.0,0.102,0.055,0.107,COD,2026-06-17 19:00,67.242,0.32887,0.10477,0.18538,0.0,0.045359,0.163841,0.067456,-0.044717,0.05896,58.070191,2.015351,2.015351,UZB,2026-06-23 19:00,67.242,0.339651,0.109391,0.191296,0.0,0.045359,0.106635,0.068561,-0.043148,0.05896,58.070191,2.023722,1.922536,COL,2026-06-28 01:30,67.242,0.18372,0.064624,0.151854,0.0,0.045359,0.075076,0.060929,-0.051011,0.05896,58.070191,1.179201,1.061281,5.218274,20275,585,7000000,FWD,False,,7,4.999168,0.967803,3.860333,4.999168,4.999168,0.45,True,1.35,cristiano ronaldo,por,FWD,cristiano ronaldo|por|FWD,cristiano ronaldo|por,cristiano ronaldo|por,,,,0.5,,,1.2405,,0.5,,,1.2405,,0.3547,,,1.0443,complete_components,component_weighted_sum,component_base_rebuilt,0.9364,,0.7777,medium_risk,medium_risk,,0.8636,86,sandsynlig starter - Transfermarkt landshold,3.860333,3.860333,3.860333,appearance_scaled_then_base_capped
vinicius_j_nior__bra,Vinicius Junior,BRA,Brasilien,FWD,7500000,7500000,0.8148,transfermarkt_availability_split_2026_06_05,0.074073,4.375195,4.375195,49929,Brasilien,7500000,True,True,name_team_position,1.0,0.094,0.067,0.11,MAR,2026-06-14 00:00,67.422,0.249656,0.108677,0.172404,0.0,0.043101,0.122149,0.051504,-0.036492,0.047776,54.935446,1.638895,1.638895,HAI,2026-06-20 03:00,67.422,0.300241,0.127207,0.188686,0.0,0.043101,0.086169,0.053488,-0.033042,0.047776,54.935446,1.882561,1.788433,SCO,2026-06-25 00:00,67.422,0.240891,0.101766,0.151332,0.0,0.043101,0.061408,0.048533,-0.039231,0.047776,54.935446,1.495579,1.346021,5.017035,36736,764,7500000,FWD,False,,7.5,4.773349,0.975379,3.888563,4.773349,4.773349,0.45,True,1.35,vinicius junior,bra,FWD,vinicius junior|bra|FWD,vinicius junior|bra,junior vinicius|bra,,,,0.4624,,,1.1897,,0.6453,,,1.4367,,0.5,,,1.2405,complete_components,component_weighted_sum,component_base_rebuilt,0.8824,,0.781,medium_risk,medium_risk,,0.8148,81,sandsynlig starter - Transfermarkt landshold,3.888563,3.888563,3.888563,appearance_scaled_then_base_capped
kerem_akt_rko_lu__tur,Kerem Akturkoglu,TUR,Tyrkiet,MID,4500000,4500000,0.7451,transfermarkt_availability_split_2026_06_05,0.067736,4.363468,4.363468,49386,Tyrkiet,4500000,True,True,name_team_position,1.0,0.166,0.07,0.18,AUS,2026-06-14 06:00,67.445,0.296183,0.077987,0.213879,0.0,0.039652,0.116852,0.045473,-0.038701,0.055036,50.253269,2.067763,2.067763,PAR,2026-06-20 06:00,67.445,0.28892,0.080222,0.251128,0.0,0.039652,0.070106,0.049264,-0.035337,0.055036,50.253269,2.035811,1.93402,USA,2026-06-26 04:00,67.445,0.224978,0.066335,0.241515,0.0,0.039652,0.066315,0.049264,-0.036549,0.055036,50.253269,1.659824,1.493842,5.763398,40602,586,4500000,MID,False,,4.5,5.495625,0.927665,2.979722,5.495625,5.495625,0.45,True,1.35,kerem akturkoglu,tur,MID,kerem akturkoglu|tur|MID,kerem akturkoglu|tur,akturkoglu kerem|tur,,,,0.411,,,1.1204,,0.375,,,1.0718,,0.2766,,,0.9389,complete_components,component_weighted_sum,component_base_rebuilt,0.7819,,0.8656,low_risk,low_risk,,0.7451,75,sandsynlig starter - Transfermarkt landshold,2.979722,2.979722,2.979722,appearance_scaled_then_base_capped
aymeric_laporte__esp,Aymeric Laporte,ESP,Spanien,DEF,4500000,4500000,0.8597,transfermarkt_availability_split_2026_06_05,0.078155,4.256352,4.256352,48877,Spanien,4500000,True,True,name_team_position,1.0,0.008,0.011,0.004,CPV,2026-06-15 18:00,74.772,0.027732,0.020118,0.007023,0.537312,0.071398,0.190177,0.08597,-0.068776,0.053164,64.281488,1.604992,1.604992,KSA,2026-06-21 18:00,74.772,0.027732,0.020118,0.005853,0.569723,0.071398,0.445892,0.08597,-0.068776,0.053164,64.281488,1.930842,1.8343,URU,2026-06-27 02:00,74.772,0.018965,0.015041,0.004682,0.363309,0.071398,0.324289,0.08597,-0.068776,0.053164,64.281488,1.286124,1.157511,4.821958,30710,595,4500000,DEF,False,,4.5,4.596803,0.9725,3.840246,4.596803,4.596803,0.45,True,1.35,aymeric laporte,esp,DEF,aymeric laporte|esp|DEF,aymeric laporte|esp,aymeric laporte|esp,,,,0.625,,,1.4093,,0.6627,,,1.45,,0.4226,,,1.136,complete_components,component_weighted_sum,component_base_rebuilt,0.97,,0.675,medium_risk,medium_risk,,0.8597,86,sandsynlig starter - Transfermarkt landshold,3.840246,3.840246,3.840246,appearance_scaled_then_base_capped
kylian_mbapp__fra,Kylian Mbappe,FRA,Frankrig,FWD,10000000,10000000,0.8057,transfermarkt_availability_split_2026_06_05,0.073245,4.214243,4.214243,49418,Frankrig,10000000,True,True,name_team_position,1.0,0.085,0.052,0.119,SEN,2026-06-16 21:00,66.887,0.248407,0.090299,0.186459,0.0,0.041435,0.148968,0.086195,-0.059448,0.05824,53.890856,1.643504,1.643504,IRQ,2026-06-22 23:00,66.887,0.264305,0.09541,0.197363,0.0,0.041435,0.138311,0.088873,-0.055752,0.05824,53.890856,1.72905,1.642598,NOR,2026-06-26 21:00,66.887,0.184908,0.069438,0.161379,0.0,0.041435,0.102231,0.080184,-0.064611,0.05824,53.890856,1.243934,1.119541,4.616488,34844,592,10000000,FWD,False,,10,4.405643,1,3.98031,4.405643,4.405643,0.45,True,1.35,kylian mbappe,fra,FWD,kylian mbappe|fra|FWD,kylian mbappe|fra,kylian mbappe|fra,,,,0.4624,,,1.1897,,0.6627,,,1.45,,0.375,,,1.0718,complete_components,component_weighted_sum,component_base_rebuilt,0.8564,,0.8306,medium_risk,medium_risk,,0.8057,81,sandsynlig starter - Transfermarkt landshold,3.98031,3.98031,3.98031,appearance_scaled_then_base_capped
marc_cucurella__esp,Marc Cucurella,ESP,Spanien,DEF,4500000,4500000,0.8268,transfermarkt_availability_split_2026_06_05,0.075164,4.115572,4.115572,49488,Spanien,4500000,True,True,name_team_position,1.0,0.007,0.011,0.003,CPV,2026-06-15 18:00,75.123,0.021819,0.021824,0.003991,0.51675,0.068841,0.182899,0.08268,-0.066144,0.049216,62.111696,1.517037,1.517037,KSA,2026-06-21 18:00,75.123,0.020002,0.021824,0.003991,0.54792,0.068841,0.428828,0.08268,-0.066144,0.049216,62.111696,1.820638,1.729606,URU,2026-06-27 02:00,75.123,0.014548,0.01567,0.003991,0.349406,0.068841,0.311879,0.08268,-0.066144,0.049216,62.111696,1.215772,1.094195,4.553447,36730,595,4500000,DEF,False,,4.5,4.340838,0.9725,3.840246,4.340838,4.340838,0.45,True,1.35,marc cucurella,esp,DEF,marc cucurella|esp|DEF,marc cucurella|esp,cucurella marc|esp,,,,0.625,,,1.4093,,0.6627,,,1.45,,0.4226,,,1.136,complete_components,component_weighted_sum,component_base_rebuilt,0.9614,,0.6,high_risk,high_risk,,0.8268,83,sandsynlig starter - Transfermarkt landshold,3.840246,3.840246,3.840246,appearance_scaled_then_base_capped
cody_gakpo__ned,Cody Gakpo,NED,Holland,FWD,6500000,6500000,0.8695,transfermarkt_availability_split_2026_06_05,0.079045,4.068291,4.068291,48964,Holland,6500000,True,True,name_team_position,1.0,0.093,0.054,0.111,JPN,2026-06-14 22:00,67.237,0.211283,0.079383,0.187559,0.0,0.045933,0.095182,0.063818,-0.044431,0.056459,58.583598,1.395935,1.395935,SWE,2026-06-20 19:00,67.237,0.259542,0.093173,0.189473,0.0,0.045933,0.094698,0.063819,-0.043995,0.056459,58.583598,1.632208,1.550598,TUN,2026-06-26 01:00,67.237,0.240273,0.084378,0.162679,0.0,0.045933,0.075141,0.059703,-0.048331,0.056459,58.583598,1.473944,1.32655,4.502087,37009,593,6500000,FWD,False,,6.5,4.273083,0.956439,3.817989,4.273083,4.273083,0.45,True,1.35,cody gakpo,ned,FWD,cody gakpo|ned|FWD,cody gakpo|ned,cody gakpo|ned,,,,0.3373,,,1.021,,0.4226,,,1.136,,0.4624,,,1.1897,complete_components,component_weighted_sum,component_base_rebuilt,0.9087,,0.8767,low_risk,low_risk,,0.8695,87,sikker starter - Transfermarkt landshold,3.817989,3.817989,3.817989,appearance_scaled_then_base_capped
theo_hern_ndez__fra,Theo Hernandez,FRA,Frankrig,DEF,4500000,4500000,0.9462,transfermarkt_availability_split_2026_06_05,0.086018,4.017559,4.017559,49889,Frankrig,4500000,True,True,name_team_position,1.0,0.008,0.017,0.004,SEN,2026-06-16 21:00,74.844,0.027945,0.035938,0.006389,0.437523,0.079222,0.156268,0.090419,-0.062361,0.063544,70.817393,1.413072,1.413072,IRQ,2026-06-22 23:00,74.844,0.030274,0.037934,0.007667,0.627047,0.079222,0.145088,0.093228,-0.058484,0.063544,70.817393,1.84677,1.754432,NOR,2026-06-26 21:00,74.844,0.021866,0.026534,0.006389,0.354825,0.079222,0.10724,0.084113,-0.067777,0.063544,70.817393,1.1057,0.99513,4.365542,33924,592,4500000,DEF,False,,4.5,4.162634,0.9725,3.840246,4.162634,4.162634,0.45,True,1.35,theo hernandez,fra,DEF,theo hernandez|fra|DEF,theo hernandez|fra,hernandez theo|fra,,,,0.4624,,,1.1897,,0.6627,,,1.45,,0.375,,,1.0718,complete_components,component_weighted_sum,component_base_rebuilt,0.97,,0.93,low_risk,low_risk,,0.9462,95,sikker starter - Transfermarkt landshold,3.840246,3.840246,3.840246,appearance_scaled_then_base_capped
lamine_yamal__esp,Lamine Yamal,ESP,Spanien,FWD,9000000,9000000,0.78,transfermarkt_availability_split_2026_06_05,0.070909,3.977034,3.977034,49421,Spanien,9000000,True,True,name_team_position,1.0,0.065,0.043,0.075,CPV,2026-06-15 18:00,67.035,0.200836,0.079354,0.123613,0.0,0.040246,0.192123,0.08685,-0.06948,0.05422,52.2873,1.388486,1.388486,KSA,2026-06-21 18:00,67.035,0.195595,0.076359,0.120738,0.0,0.040246,0.450456,0.08685,-0.06948,0.05422,52.2873,1.613995,1.533295,URU,2026-06-27 02:00,67.035,0.141287,0.057463,0.098699,0.0,0.040246,0.327609,0.08685,-0.06948,0.05422,52.2873,1.195189,1.07567,4.19767,43796,595,9000000,FWD,False,,9,3.997451,0.992424,3.95208,3.997451,3.997451,0.45,True,1.35,lamine yamal,esp,FWD,lamine yamal|esp|FWD,lamine yamal|esp,lamine yamal|esp,,,,0.625,,,1.4093,,0.6627,,,1.45,,0.4226,,,1.136,complete_components,component_weighted_sum,component_base_rebuilt,0.8868,,0.656,medium_risk,medium_risk,,0.78,78,sandsynlig starter - Transfermarkt landshold,3.95208,3.95208,3.95208,appearance_scaled_then_base_capped
harry_kane__eng,Harry Kane,ENG,England,FWD,9500000,9500000,0.8501,transfermarkt_availability_split_2026_06_05,0.077282,3.976067,3.976067,49172,England,9500000,True,True,name_team_position,1.0,0.082,0.042,0.087,CRO,2026-06-17 22:00,66.527,0.208144,0.066234,0.139664,0.0,0.044692,0.118865,0.062888,-0.04507,0.054424,56.554603,1.317357,1.317357,GHA,2026-06-23 22:00,66.527,0.261324,0.081471,0.147113,0.0,0.044692,0.101432,0.064918,-0.04254,0.054424,56.554603,1.570364,1.491846,PAN,2026-06-27 23:00,66.527,0.220598,0.066924,0.122904,0.0,0.044692,0.077088,0.060859,-0.048258,0.054424,56.554603,1.305489,1.17494,4.19321,29643,769,9500000,FWD,False,,9.5,3.984143,0.996212,3.966195,3.984143,3.984143,0.45,True,1.35,harry kane,eng,FWD,harry kane|eng|FWD,harry kane|eng,harry kane|eng,,,,0.4118,,,1.1214,,0.5,,,1.2405,,0.5376,,,1.2913,complete_components,component_weighted_sum,component_base_rebuilt,0.8995,,0.8429,medium_risk,medium_risk,,0.8501,85,sikker starter - Transfermarkt landshold,3.966195,3.966195,3.966195,appearance_scaled_then_base_capped
pedro_porro__esp,Pedro Porro,ESP,Spanien,DEF,4500000,4500000,0.7572,transfermarkt_availability_split_2026_06_05,0.068836,3.96164,3.96164,49729,Spanien,4500000,True,True,name_team_position,1.0,0.006,0.02,0.002,CPV,2026-06-15 18:00,74.866,0.018881,0.033994,0.004145,0.47325,0.063196,0.167502,0.07572,-0.060576,0.040864,56.688535,1.420877,1.420877,KSA,2026-06-21 18:00,74.866,0.016994,0.033994,0.004145,0.501796,0.063196,0.392729,0.07572,-0.060576,0.040864,56.688535,1.697583,1.612704,URU,2026-06-27 02:00,74.866,0.013428,0.025146,0.003108,0.319993,0.063196,0.285625,0.07572,-0.060576,0.040864,56.688535,1.141536,1.027382,4.259996,36887,595,4500000,DEF,False,,4.5,4.060963,0.9725,3.840246,4.060963,4.060963,0.45,True,1.35,pedro porro,esp,DEF,pedro porro|esp|DEF,pedro porro|esp,pedro porro|esp,,,,0.625,,,1.4093,,0.6627,,,1.45,,0.4226,,,1.136,complete_components,component_weighted_sum,component_base_rebuilt,0.8804,,0.6,high_risk,high_risk,,0.7572,76,sandsynlig starter - Transfermarkt landshold,3.840246,3.840246,3.840246,appearance_scaled_then_base_capped
unai_sim_n__esp,Unai Simon,ESP,Spanien,GK,5000000,5000000,0.7747,transfermarkt_availability_split_2026_06_05+gk_hierarchy_normalized,0.070427,3.914407,3.914407,49920,Spanien,5000000,True,True,name_team_position,1.0,0.0,0.0,0.0,CPV,2026-06-15 18:00,79.72,0.0,0.0,0.0,0.484188,0.02068,0.177214,0.08011,-0.064088,0.046132,61.759084,1.574414,1.574414,KSA,2026-06-21 18:00,79.72,0.0,0.0,0.0,0.513394,0.02068,0.415499,0.08011,-0.064088,0.046132,61.759084,1.894476,1.799752,URU,2026-06-27 02:00,79.72,0.0,0.0,0.0,0.327388,0.02068,0.302185,0.08011,-0.064088,0.046132,61.759084,1.260345,1.134311,4.729235,35089,595,5000000,GK,False,,5,4.508477,0.967626,3.188321,4.508477,4.508477,0.45,True,1.35,unai simon,esp,GK,unai simon|esp|GK,unai simon|esp,simon unai|esp,,,,0.625,,,1.4093,,0.6627,,,1.45,,0.4226,,,1.136,complete_components,component_weighted_sum,component_base_rebuilt,0.7747,,0.7942,medium_risk,medium_risk,,0.7747,77,sandsynlig starter - GK hierarchy,3.188321,3.188321,3.188321,appearance_scaled_then_base_capped
lautaro_mart_nez__arg,Lautaro Martinez,ARG,Argentina,FWD,8000000,8000000,0.6003,transfermarkt_availability_split_2026_06_05,0.054573,3.881769,3.881769,49423,Argentina,8000000,True,True,name_team_position,1.0,0.117,0.069,0.126,ALG,2026-06-17 03:00,67.224,0.259146,0.090684,0.148963,0.0,0.030953,0.144519,0.059677,-0.041121,0.051976,40.354567,1.641697,1.641697,AUT,2026-06-22 19:00,67.224,0.228471,0.081826,0.146061,0.0,0.030953,0.087526,0.059677,-0.041806,0.051976,40.354567,1.431843,1.360251,JOR,2026-06-28 04:00,67.224,0.237991,0.083127,0.136388,0.0,0.030953,0.07957,0.057688,-0.043127,0.051976,40.354567,1.452887,1.307598,4.526427,36368,762,8000000,FWD,False,,8,4.309546,0.982955,3.35893,4.309546,4.309546,0.45,True,1.35,lautaro martinez,arg,FWD,lautaro martinez|arg|FWD,lautaro martinez|arg,lautaro martinez|arg,,,,0.5135,,,1.2588,,0.4226,,,1.136,,0.5774,,,1.3451,complete_components,component_weighted_sum,component_base_rebuilt,0.6551,,0.7612,medium_risk,medium_risk,,0.6003,60,rotation/usikker - Transfermarkt landshold,3.916793,3.35893,3.916793,appearance_scaled_then_base_capped
ra_l_jim_nez__mex,Raul Jimenez,MEX,Mexico,FWD,4500000,4500000,0.679,transfermarkt_availability_split_2026_06_05,0.061727,3.854527,3.854527,49754,Mexico,4500000,True,True,name_team_position,1.0,0.124,0.06,0.129,RSA,2026-06-11 21:00,67.352,0.311744,0.089478,0.173283,0.0,0.035698,0.126056,0.059876,-0.040161,0.046081,45.732008,1.844847,1.844847,KOR,2026-06-19 03:00,67.352,0.2535,0.076436,0.169565,0.0,0.035698,0.085533,0.058805,-0.040907,0.046081,45.732008,1.526687,1.450353,CZE,2026-06-25 03:00,67.352,0.196136,0.060942,0.145022,0.0,0.035698,0.068428,0.05453,-0.045054,0.046081,45.732008,1.200679,1.080611,4.572213,32272,775,4500000,FWD,False,,4.5,4.375811,0.82197,3.217401,4.375811,4.375811,0.45,True,1.35,raul jimenez,mex,FWD,raul jimenez|mex|FWD,raul jimenez|mex,jimenez raul|mex,,,,0.5376,,,1.2913,,0.4415,,,1.1615,,0.411,,,1.1204,complete_components,component_weighted_sum,component_base_rebuilt,0.7895,,0.6,high_risk,high_risk,,0.679,68,sandsynlig starter - Transfermarkt landshold,3.316909,3.217401,3.316909,appearance_scaled_then_base_capped
marquinhos__bra,Marquinhos,BRA,Brasilien,DEF,5000000,5000000,0.8549,transfermarkt_availability_split_2026_06_05,0.077718,3.835261,3.835261,49507,Brasilien,5000000,True,True,name_team_position,1.0,0.008,0.014,0.003,MAR,2026-06-14 00:00,74.819,0.023224,0.022612,0.006218,0.395306,0.071502,0.128161,0.054039,-0.038287,0.052588,63.962763,1.20807,1.20807,HAI,2026-06-20 03:00,74.819,0.028328,0.026717,0.006218,0.551667,0.071502,0.09041,0.056121,-0.034669,0.052588,63.962763,1.562952,1.484805,SCO,2026-06-25 00:00,74.819,0.022663,0.021858,0.004663,0.42745,0.071502,0.06443,0.050922,-0.041162,0.052588,63.962763,1.201881,1.081693,3.972903,31356,764,5000000,DEF,False,,5,3.774568,0.99625,3.909442,3.774568,3.774568,0.45,True,1.35,marquinhos,bra,DEF,marquinhos|bra|DEF,marquinhos|bra,marquinhos|bra,,,,0.4624,,,1.1897,,0.6453,,,1.4367,,0.5,,,1.2405,complete_components,component_weighted_sum,component_base_rebuilt,0.9255,,0.782,medium_risk,medium_risk,,0.8549,85,sandsynlig starter - Transfermarkt landshold,3.909442,3.909442,3.909442,appearance_scaled_then_base_capped
marc_gu_hi__eng,Marc Guehi,ENG,England,DEF,4500000,4500000,0.8103,transfermarkt_availability_split_2026_06_05,0.073664,3.82623,3.82623,49489,England,4500000,True,True,name_team_position,1.0,0.008,0.054,0.003,CRO,2026-06-17 22:00,74.819,0.02036,0.079583,0.004986,0.333682,0.068148,0.110683,0.058559,-0.041967,0.047236,60.625836,1.206358,1.206358,GHA,2026-06-23 22:00,74.819,0.024234,0.096094,0.004986,0.40515,0.068148,0.09445,0.060449,-0.039612,0.047236,60.625836,1.424377,1.353158,PAN,2026-06-27 23:00,74.819,0.021206,0.080512,0.004986,0.435617,0.068148,0.071782,0.05667,-0.044937,0.047236,60.625836,1.394718,1.255247,4.025453,38184,769,4500000,DEF,False,,4.5,3.814763,0.9725,3.840246,3.814763,3.814763,0.45,True,1.35,marc guehi,eng,DEF,marc guehi|eng|DEF,marc guehi|eng,guehi marc|eng,,,,0.4118,,,1.1214,,0.5,,,1.2405,,0.5376,,,1.2913,complete_components,component_weighted_sum,component_base_rebuilt,0.918,,0.6648,medium_risk,medium_risk,,0.8103,81,sandsynlig starter - Transfermarkt landshold,3.840246,3.840246,3.840246,appearance_scaled_then_base_capped
nuno_mendes__por,Nuno Mendes,POR,Portugal,DEF,4500000,4500000,0.7885,transfermarkt_availability_split_2026_06_05,0.071682,3.815763,3.815763,49672,Portugal,4500000,True,True,name_team_position,1.0,0.013,0.045,0.008,COD,2026-06-17 19:00,75.615,0.039645,0.079307,0.012085,0.39425,0.066064,0.154006,0.063406,-0.042033,0.052419,59.622427,1.51696,1.51696,UZB,2026-06-23 19:00,75.615,0.041113,0.081825,0.012085,0.39425,0.066064,0.100233,0.064446,-0.040558,0.052419,59.622427,1.482064,1.407961,COL,2026-06-28 01:30,75.615,0.022016,0.048086,0.009668,0.279681,0.066064,0.070569,0.057271,-0.047949,0.052419,59.622427,0.967566,0.87081,3.96659,40449,585,4500000,DEF,False,,4.5,3.795731,0.9725,3.840246,3.795731,3.795731,0.45,True,1.35,nuno mendes,por,DEF,nuno mendes|por|DEF,nuno mendes|por,mendes nuno|por,,,,0.5,,,1.2405,,0.5,,,1.2405,,0.3547,,,1.0443,complete_components,component_weighted_sum,component_base_rebuilt,0.8642,,0.7498,medium_risk,medium_risk,,0.7885,79,sandsynlig starter - Transfermarkt landshold,3.840246,3.840246,3.840246,appearance_scaled_then_base_capped
denzel_dumfries__ned,Denzel Dumfries,NED,Holland,DEF,5000000,5000000,0.8907,transfermarkt_availability_split_2026_06_05,0.080973,3.795351,3.795351,49012,Holland,5000000,True,True,name_team_position,1.0,0.02,0.019,0.009,JPN,2026-06-14 22:00,74.932,0.046233,0.028163,0.01539,0.300433,0.073654,0.095562,0.064073,-0.044609,0.056884,66.741932,1.136486,1.136486,SWE,2026-06-20 19:00,74.932,0.056122,0.032576,0.016489,0.37641,0.073654,0.095076,0.064074,-0.044171,0.056884,66.741932,1.37726,1.308397,TUN,2026-06-26 01:00,74.932,0.052935,0.029573,0.014291,0.41186,0.073654,0.075441,0.059942,-0.048524,0.056884,66.741932,1.396801,1.257121,3.910547,37005,593,5000000,DEF,False,,5,3.702004,0.99625,3.909442,3.702004,3.702004,0.45,True,1.35,denzel dumfries,ned,DEF,denzel dumfries|ned|DEF,denzel dumfries|ned,denzel dumfries|ned,,,,0.3373,,,1.021,,0.4226,,,1.136,,0.4624,,,1.1897,complete_components,component_weighted_sum,component_base_rebuilt,0.9464,,0.832,medium_risk,medium_risk,,0.8907,89,sikker starter - Transfermarkt landshold,3.909442,3.909442,3.909442,appearance_scaled_then_base_capped
cristian_romero__arg,Cristian Romero,ARG,Argentina,DEF,4000000,4000000,0.8907,transfermarkt_availability_split_2026_06_05,0.080973,3.793842,3.793842,48969,Argentina,4000000,True,True,name_team_position,1.0,0.01,0.014,0.004,ALG,2026-06-17 03:00,75.091,0.030173,0.02822,0.007526,0.457374,0.073748,0.151474,0.06255,-0.043101,0.056884,66.883554,1.433506,1.433506,AUT,2026-06-22 19:00,75.091,0.026967,0.023736,0.007526,0.37641,0.073748,0.091739,0.06255,-0.043818,0.056884,66.883554,1.162245,1.104133,JOR,2026-06-28 04:00,75.091,0.030173,0.025869,0.007526,0.51429,0.073748,0.0834,0.060465,-0.045203,0.056884,66.883554,1.479407,1.331466,4.075158,39764,762,4000000,DEF,False,,4,3.869105,0.925,3.701854,3.869105,3.869105,0.45,True,1.35,cristian romero,arg,DEF,cristian romero|arg|DEF,cristian romero|arg,cristian romero|arg,,,,0.5135,,,1.2588,,0.4226,,,1.136,,0.5774,,,1.3451,complete_components,component_weighted_sum,component_base_rebuilt,0.97,,0.7663,medium_risk,medium_risk,,0.8907,89,sandsynlig starter - Transfermarkt landshold,3.701854,3.701854,3.701854,appearance_scaled_then_base_capped
