date,matchday,venue,for_team,opponent,result,position,competition,participation_state,goals,assists,yellow_cards,row_text,was_not_in_squad,was_on_bench,has_position,minutes_estimate,started_estimate,player_id,player_name,team_id,position_model,transfermarkt_player_id,source_url
02/06/26,30,away,3441,3864,1:1,14,FS,played,0,0,0,02/06/26 | FS | club:3441 | opponent:3864 | 1:1 | played | 75',False,False,True,75.0,True,jordan_ayew__gha,Jordan Ayew,GHA,FWD,108354,https://www.transfermarkt.de/jordan-ayew/nationalmannschaft/spieler/108354/verein_id/3441
23/05/26,28,away,3441,6303,0:2,,FS,not in squad,0,0,0,23/05/26 | FS | club:3441 | opponent:6303 | 0:2 | not in squad,True,False,False,,False,jordan_ayew__gha,Jordan Ayew,GHA,FWD,108354,https://www.transfermarkt.de/jordan-ayew/nationalmannschaft/spieler/108354/verein_id/3441
30/03/26,2,away,3441,3262,1:2,11,FS,played,0,0,0,30/03/26 | FS | club:3441 | opponent:3262 | 1:2 | played | 90',False,False,True,90.0,True,jordan_ayew__gha,Jordan Ayew,GHA,FWD,108354,https://www.transfermarkt.de/jordan-ayew/nationalmannschaft/spieler/108354/verein_id/3441
27/03/26,46,away,3441,3383,1:5,14,FS,played,1,0,0,27/03/26 | FS | club:3441 | opponent:3383 | 1:5 | played | 86',False,False,True,86.0,True,jordan_ayew__gha,Jordan Ayew,GHA,FWD,108354,https://www.transfermarkt.de/jordan-ayew/nationalmannschaft/spieler/108354/verein_id/3441
18/11/25,6,away,3441,3589,0:1,,FS,not in squad,0,0,0,18/11/25 | FS | club:3441 | opponent:3589 | 0:1 | not in squad,True,False,False,,False,jordan_ayew__gha,Jordan Ayew,GHA,FWD,108354,https://www.transfermarkt.de/jordan-ayew/nationalmannschaft/spieler/108354/verein_id/3441
14/11/25,5,away,3441,3435,0:2,,FS,not in squad,0,0,0,14/11/25 | FS | club:3441 | opponent:3435 | 0:2 | not in squad,True,False,False,,False,jordan_ayew__gha,Jordan Ayew,GHA,FWD,108354,https://www.transfermarkt.de/jordan-ayew/nationalmannschaft/spieler/108354/verein_id/3441
12/10/25,10,home,3441,16430,1:0,11,WMQ2,played,0,0,0,12/10/25 | WMQ2 | club:3441 | opponent:16430 | 1:0 | played | 86',False,False,True,86.0,True,jordan_ayew__gha,Jordan Ayew,GHA,FWD,108354,https://www.transfermarkt.de/jordan-ayew/nationalmannschaft/spieler/108354/verein_id/3441
08/10/25,9,away,3441,12933,5:0,14,WMQ2,played,1,2,1,08/10/25 | WMQ2 | club:3441 | opponent:12933 | 5:0 | played | 90',False,False,True,90.0,True,jordan_ayew__gha,Jordan Ayew,GHA,FWD,108354,https://www.transfermarkt.de/jordan-ayew/nationalmannschaft/spieler/108354/verein_id/3441
08/09/25,8,home,3441,3674,1:0,14,WMQ2,played,0,1,0,08/09/25 | WMQ2 | club:3441 | opponent:3674 | 1:0 | played | 80',False,False,True,80.0,True,jordan_ayew__gha,Jordan Ayew,GHA,FWD,108354,https://www.transfermarkt.de/jordan-ayew/nationalmannschaft/spieler/108354/verein_id/3441
04/09/25,7,away,3441,13978,1:1,14,WMQ2,played,1,0,0,04/09/25 | WMQ2 | club:3441 | opponent:13978 | 1:1 | played | 90',False,False,True,90.0,True,jordan_ayew__gha,Jordan Ayew,GHA,FWD,108354,https://www.transfermarkt.de/jordan-ayew/nationalmannschaft/spieler/108354/verein_id/3441
31/05/25,45,away,3441,7149,4:0,14,FS,played,1,2,0,31/05/25 | FS | club:3441 | opponent:7149 | 4:0 | played | 60',False,False,True,60.0,True,jordan_ayew__gha,Jordan Ayew,GHA,FWD,108354,https://www.transfermarkt.de/jordan-ayew/nationalmannschaft/spieler/108354/verein_id/3441
28/05/25,52,away,3441,3444,1:2,11,FS,played,0,0,0,28/05/25 | FS | club:3441 | opponent:3444 | 1:2 | played | 90',False,False,True,90.0,True,jordan_ayew__gha,Jordan Ayew,GHA,FWD,108354,https://www.transfermarkt.de/jordan-ayew/nationalmannschaft/spieler/108354/verein_id/3441
24/03/25,6,away,3441,14635,3:0,14,WMQ2,played,0,3,0,24/03/25 | WMQ2 | club:3441 | opponent:14635 | 3:0 | played | 90',False,False,True,90.0,True,jordan_ayew__gha,Jordan Ayew,GHA,FWD,108354,https://www.transfermarkt.de/jordan-ayew/nationalmannschaft/spieler/108354/verein_id/3441
21/03/25,5,home,3441,13978,5:0,11,WMQ2,played,1,1,0,21/03/25 | WMQ2 | club:3441 | opponent:13978 | 5:0 | played | 80',False,False,True,80.0,True,jordan_ayew__gha,Jordan Ayew,GHA,FWD,108354,https://www.transfermarkt.de/jordan-ayew/nationalmannschaft/spieler/108354/verein_id/3441
18/11/24,8,home,3441,14163,1:2,,AFCQ,not in squad,0,0,0,18/11/24 | AFCQ | club:3441 | opponent:14163 | 1:2 | not in squad,True,False,False,,False,jordan_ayew__gha,Jordan Ayew,GHA,FWD,108354,https://www.transfermarkt.de/jordan-ayew/nationalmannschaft/spieler/108354/verein_id/3441
15/11/24,7,away,3441,3585,1:1,14,AFCQ,played,1,0,0,15/11/24 | AFCQ | club:3441 | opponent:3585 | 1:1 | played | 90',False,False,True,90.0,True,jordan_ayew__gha,Jordan Ayew,GHA,FWD,108354,https://www.transfermarkt.de/jordan-ayew/nationalmannschaft/spieler/108354/verein_id/3441
15/10/24,6,away,3441,13313,0:2,14,AFCQ,played,0,0,0,15/10/24 | AFCQ | club:3441 | opponent:13313 | 0:2 | played | 33',False,False,True,33.0,False,jordan_ayew__gha,Jordan Ayew,GHA,FWD,108354,https://www.transfermarkt.de/jordan-ayew/nationalmannschaft/spieler/108354/verein_id/3441
10/10/24,5,home,3441,13313,0:0,14,AFCQ,played,0,0,0,10/10/24 | AFCQ | club:3441 | opponent:13313 | 0:0 | played | 69',False,False,True,69.0,True,jordan_ayew__gha,Jordan Ayew,GHA,FWD,108354,https://www.transfermarkt.de/jordan-ayew/nationalmannschaft/spieler/108354/verein_id/3441
09/09/24,4,away,3441,14163,1:1,14,AFCQ,played,0,0,0,09/09/24 | AFCQ | club:3441 | opponent:14163 | 1:1 | played | 19',False,False,True,19.0,False,jordan_ayew__gha,Jordan Ayew,GHA,FWD,108354,https://www.transfermarkt.de/jordan-ayew/nationalmannschaft/spieler/108354/verein_id/3441
