date,matchday,venue,for_team,opponent,result,position,competition,participation_state,goals,assists,yellow_cards,row_text,was_not_in_squad,was_on_bench,has_position,minutes_estimate,started_estimate,player_id,player_name,team_id,position_model,transfermarkt_player_id,source_url
31/05/26,5,home,4311,3438,3:0,3,FS,played,0,0,0,31/05/26 | FS | club:4311 | opponent:3438 | 3:0 | played | 45',False,False,True,45.0,True,roberto_lopes__cpv,Roberto Lopes,CPV,DEF,166158,https://www.transfermarkt.de/roberto-lopes/nationalmannschaft/spieler/166158/verein_id/4311
30/03/26,51,away,4311,3443,1:1,3,FS,played,0,0,0,30/03/26 | FS | club:4311 | opponent:3443 | 1:1 | played | 86',False,False,True,86.0,True,roberto_lopes__cpv,Roberto Lopes,CPV,DEF,166158,https://www.transfermarkt.de/roberto-lopes/nationalmannschaft/spieler/166158/verein_id/4311
27/03/26,51,away,4311,3700,2:4,3,FS,played,0,0,0,27/03/26 | FS | club:4311 | opponent:3700 | 2:4 | played | 90',False,False,True,90.0,True,roberto_lopes__cpv,Roberto Lopes,CPV,DEF,166158,https://www.transfermarkt.de/roberto-lopes/nationalmannschaft/spieler/166158/verein_id/4311
18/11/25,9,away,4311,3672,1:1,,FS,not in squad,0,0,0,18/11/25 | FS | club:4311 | opponent:3672 | 1:1 | not in squad,True,False,False,,False,roberto_lopes__cpv,Roberto Lopes,CPV,DEF,166158,https://www.transfermarkt.de/roberto-lopes/nationalmannschaft/spieler/166158/verein_id/4311
13/11/25,3,away,4311,3582,4:5,,FS,not in squad,0,0,0,13/11/25 | FS | club:4311 | opponent:3582 | 4:5 | not in squad,True,False,False,,False,roberto_lopes__cpv,Roberto Lopes,CPV,DEF,166158,https://www.transfermarkt.de/roberto-lopes/nationalmannschaft/spieler/166158/verein_id/4311
13/10/25,10,home,4311,13675,3:0,3,WMQ2,played,0,0,0,13/10/25 | WMQ2 | club:4311 | opponent:13675 | 3:0 | played | 90',False,False,True,90.0,True,roberto_lopes__cpv,Roberto Lopes,CPV,DEF,166158,https://www.transfermarkt.de/roberto-lopes/nationalmannschaft/spieler/166158/verein_id/4311
08/10/25,9,away,4311,6602,3:3,3,WMQ2,played,0,0,0,08/10/25 | WMQ2 | club:4311 | opponent:6602 | 3:3 | played | 90',False,False,True,90.0,True,roberto_lopes__cpv,Roberto Lopes,CPV,DEF,166158,https://www.transfermarkt.de/roberto-lopes/nationalmannschaft/spieler/166158/verein_id/4311
09/09/25,8,home,4311,3434,1:0,3,WMQ2,played,0,0,0,09/09/25 | WMQ2 | club:4311 | opponent:3434 | 1:0 | played | 90',False,False,True,90.0,True,roberto_lopes__cpv,Roberto Lopes,CPV,DEF,166158,https://www.transfermarkt.de/roberto-lopes/nationalmannschaft/spieler/166158/verein_id/4311
04/09/25,7,away,4311,14239,2:0,3,WMQ2,played,0,0,0,04/09/25 | WMQ2 | club:4311 | opponent:14239 | 2:0 | played | 90',False,False,True,90.0,True,roberto_lopes__cpv,Roberto Lopes,CPV,DEF,166158,https://www.transfermarkt.de/roberto-lopes/nationalmannschaft/spieler/166158/verein_id/4311
08/06/25,51,away,4311,3669,1:1,,FS,not in squad,0,0,0,08/06/25 | FS | club:4311 | opponent:3669 | 1:1 | not in squad,True,False,False,,False,roberto_lopes__cpv,Roberto Lopes,CPV,DEF,166158,https://www.transfermarkt.de/roberto-lopes/nationalmannschaft/spieler/166158/verein_id/4311
29/05/25,21,away,4311,15738,3:0,,FS,not in squad,0,0,0,29/05/25 | FS | club:4311 | opponent:15738 | 3:0 | not in squad,True,False,False,,False,roberto_lopes__cpv,Roberto Lopes,CPV,DEF,166158,https://www.transfermarkt.de/roberto-lopes/nationalmannschaft/spieler/166158/verein_id/4311
25/03/25,6,away,4311,3585,2:1,3,WMQ2,played,0,0,0,25/03/25 | WMQ2 | club:4311 | opponent:3585 | 2:1 | played | 90',False,False,True,90.0,True,roberto_lopes__cpv,Roberto Lopes,CPV,DEF,166158,https://www.transfermarkt.de/roberto-lopes/nationalmannschaft/spieler/166158/verein_id/4311
20/03/25,5,home,4311,14239,1:0,3,WMQ2,played,0,0,1,20/03/25 | WMQ2 | club:4311 | opponent:14239 | 1:0 | played | 90',False,False,True,90.0,True,roberto_lopes__cpv,Roberto Lopes,CPV,DEF,166158,https://www.transfermarkt.de/roberto-lopes/nationalmannschaft/spieler/166158/verein_id/4311
19/11/24,8,away,4311,14238,0:1,3,AFCQ,played,0,0,0,19/11/24 | AFCQ | club:4311 | opponent:14238 | 0:1 | played | 90',False,False,True,90.0,True,roberto_lopes__cpv,Roberto Lopes,CPV,DEF,166158,https://www.transfermarkt.de/roberto-lopes/nationalmannschaft/spieler/166158/verein_id/4311
15/11/24,7,home,4311,3672,1:1,3,AFCQ,played,0,0,0,15/11/24 | AFCQ | club:4311 | opponent:3672 | 1:1 | played | 90',False,False,True,90.0,True,roberto_lopes__cpv,Roberto Lopes,CPV,DEF,166158,https://www.transfermarkt.de/roberto-lopes/nationalmannschaft/spieler/166158/verein_id/4311
15/10/24,6,away,4311,15229,0:1,3,AFCQ,played,0,0,0,15/10/24 | AFCQ | club:4311 | opponent:15229 | 0:1 | played | 90',False,False,True,90.0,True,roberto_lopes__cpv,Roberto Lopes,CPV,DEF,166158,https://www.transfermarkt.de/roberto-lopes/nationalmannschaft/spieler/166158/verein_id/4311
10/10/24,5,home,4311,15229,0:1,3,AFCQ,played,0,0,0,10/10/24 | AFCQ | club:4311 | opponent:15229 | 0:1 | played | 90',False,False,True,90.0,True,roberto_lopes__cpv,Roberto Lopes,CPV,DEF,166158,https://www.transfermarkt.de/roberto-lopes/nationalmannschaft/spieler/166158/verein_id/4311
10/09/24,4,home,4311,14238,2:0,,AFCQ,in squad,0,0,0,10/09/24 | AFCQ | club:4311 | opponent:14238 | 2:0 | in squad,False,False,False,,False,roberto_lopes__cpv,Roberto Lopes,CPV,DEF,166158,https://www.transfermarkt.de/roberto-lopes/nationalmannschaft/spieler/166158/verein_id/4311
06/09/24,3,away,4311,3672,0:3,3,AFCQ,played,0,0,0,06/09/24 | AFCQ | club:4311 | opponent:3672 | 0:3 | played | 90',False,False,True,90.0,True,roberto_lopes__cpv,Roberto Lopes,CPV,DEF,166158,https://www.transfermarkt.de/roberto-lopes/nationalmannschaft/spieler/166158/verein_id/4311
11/06/24,4,home,4311,6602,1:0,,WMQ2,not in squad,0,0,0,11/06/24 | WMQ2 | club:4311 | opponent:6602 | 1:0 | not in squad,True,False,False,,False,roberto_lopes__cpv,Roberto Lopes,CPV,DEF,166158,https://www.transfermarkt.de/roberto-lopes/nationalmannschaft/spieler/166158/verein_id/4311
08/06/24,3,away,4311,3434,1:4,3,WMQ2,played,0,0,0,08/06/24 | WMQ2 | club:4311 | opponent:3434 | 1:4 | played | 90',False,False,True,90.0,True,roberto_lopes__cpv,Roberto Lopes,CPV,DEF,166158,https://www.transfermarkt.de/roberto-lopes/nationalmannschaft/spieler/166158/verein_id/4311
25/03/24,35,away,4311,13485,1:0,3,FS,played,0,0,0,25/03/24 | FS | club:4311 | opponent:13485 | 1:0 | played | 90',False,False,True,90.0,True,roberto_lopes__cpv,Roberto Lopes,CPV,DEF,166158,https://www.transfermarkt.de/roberto-lopes/nationalmannschaft/spieler/166158/verein_id/4311
21/03/24,44,away,4311,15736,1:0,3,FS,played,0,0,0,21/03/24 | FS | club:4311 | opponent:15736 | 1:0 | played | 90',False,False,True,90.0,True,roberto_lopes__cpv,Roberto Lopes,CPV,DEF,166158,https://www.transfermarkt.de/roberto-lopes/nationalmannschaft/spieler/166158/verein_id/4311
03/02/24,5,away,4311,3806,1:2,3,AFCN,played,0,0,0,03/02/24 | AFCN | club:4311 | opponent:3806 | 1:2 | played | 120',False,False,True,120.0,True,roberto_lopes__cpv,Roberto Lopes,CPV,DEF,166158,https://www.transfermarkt.de/roberto-lopes/nationalmannschaft/spieler/166158/verein_id/4311
29/01/24,4,away,4311,14238,1:0,3,AFCN,played,0,0,0,29/01/24 | AFCN | club:4311 | opponent:14238 | 1:0 | played | 90',False,False,True,90.0,True,roberto_lopes__cpv,Roberto Lopes,CPV,DEF,166158,https://www.transfermarkt.de/roberto-lopes/nationalmannschaft/spieler/166158/verein_id/4311
22/01/24,3,away,4311,3672,2:2,,AFCN,in squad,0,0,0,22/01/24 | AFCN | club:4311 | opponent:3672 | 2:2 | in squad,False,False,False,,False,roberto_lopes__cpv,Roberto Lopes,CPV,DEF,166158,https://www.transfermarkt.de/roberto-lopes/nationalmannschaft/spieler/166158/verein_id/4311
19/01/24,2,away,4311,5129,3:0,3,AFCN,played,0,0,0,19/01/24 | AFCN | club:4311 | opponent:5129 | 3:0 | played | 90',False,False,True,90.0,True,roberto_lopes__cpv,Roberto Lopes,CPV,DEF,166158,https://www.transfermarkt.de/roberto-lopes/nationalmannschaft/spieler/166158/verein_id/4311
14/01/24,1,away,4311,3441,2:1,3,AFCN,played,0,0,0,14/01/24 | AFCN | club:4311 | opponent:3441 | 2:1 | played | 90',False,False,True,90.0,True,roberto_lopes__cpv,Roberto Lopes,CPV,DEF,166158,https://www.transfermarkt.de/roberto-lopes/nationalmannschaft/spieler/166158/verein_id/4311
10/01/24,36,away,4311,3670,0:2,3,FS,played,0,0,0,10/01/24 | FS | club:4311 | opponent:3670 | 0:2 | played | 90',False,False,True,90.0,True,roberto_lopes__cpv,Roberto Lopes,CPV,DEF,166158,https://www.transfermarkt.de/roberto-lopes/nationalmannschaft/spieler/166158/verein_id/4311
21/11/23,2,away,4311,13675,2:0,3,WMQ2,played,0,0,0,21/11/23 | WMQ2 | club:4311 | opponent:13675 | 2:0 | played | 90',False,False,True,90.0,True,roberto_lopes__cpv,Roberto Lopes,CPV,DEF,166158,https://www.transfermarkt.de/roberto-lopes/nationalmannschaft/spieler/166158/verein_id/4311
16/11/23,1,home,4311,3585,0:0,3,WMQ2,played,0,0,0,16/11/23 | WMQ2 | club:4311 | opponent:3585 | 0:0 | played | 90',False,False,True,90.0,True,roberto_lopes__cpv,Roberto Lopes,CPV,DEF,166158,https://www.transfermarkt.de/roberto-lopes/nationalmannschaft/spieler/166158/verein_id/4311
17/10/23,6,away,4311,16430,1:2,,FS,not in squad,0,0,0,17/10/23 | FS | club:4311 | opponent:16430 | 1:2 | not in squad,True,False,False,,False,roberto_lopes__cpv,Roberto Lopes,CPV,DEF,166158,https://www.transfermarkt.de/roberto-lopes/nationalmannschaft/spieler/166158/verein_id/4311
12/10/23,33,away,4311,3614,1:5,4,FS,played,0,0,0,12/10/23 | FS | club:4311 | opponent:3614 | 1:5 | played | 90',False,False,True,90.0,True,roberto_lopes__cpv,Roberto Lopes,CPV,DEF,166158,https://www.transfermarkt.de/roberto-lopes/nationalmannschaft/spieler/166158/verein_id/4311
10/09/23,8,away,4311,3815,2:3,3,AFCQ,played,0,0,0,10/09/23 | AFCQ | club:4311 | opponent:3815 | 2:3 | played | 90',False,False,True,90.0,True,roberto_lopes__cpv,Roberto Lopes,CPV,DEF,166158,https://www.transfermarkt.de/roberto-lopes/nationalmannschaft/spieler/166158/verein_id/4311
18/06/23,7,home,4311,5872,3:1,3,AFCQ,played,0,0,0,18/06/23 | AFCQ | club:4311 | opponent:5872 | 3:1 | played | 90',False,False,True,90.0,True,roberto_lopes__cpv,Roberto Lopes,CPV,DEF,166158,https://www.transfermarkt.de/roberto-lopes/nationalmannschaft/spieler/166158/verein_id/4311
12/06/23,8,away,4311,3575,0:0,3,FS,played,0,0,0,12/06/23 | FS | club:4311 | opponent:3575 | 0:0 | played | 33',False,False,True,33.0,False,roberto_lopes__cpv,Roberto Lopes,CPV,DEF,166158,https://www.transfermarkt.de/roberto-lopes/nationalmannschaft/spieler/166158/verein_id/4311
28/03/23,6,away,4311,13675,1:0,3,AFCQ,played,0,0,0,28/03/23 | AFCQ | club:4311 | opponent:13675 | 1:0 | played | 90',False,False,True,90.0,True,roberto_lopes__cpv,Roberto Lopes,CPV,DEF,166158,https://www.transfermarkt.de/roberto-lopes/nationalmannschaft/spieler/166158/verein_id/4311
24/03/23,5,home,4311,13675,0:0,3,AFCQ,played,0,0,0,24/03/23 | AFCQ | club:4311 | opponent:13675 | 0:0 | played | 90',False,False,True,90.0,True,roberto_lopes__cpv,Roberto Lopes,CPV,DEF,166158,https://www.transfermarkt.de/roberto-lopes/nationalmannschaft/spieler/166158/verein_id/4311
23/09/22,11,away,4311,7214,2:1,,FS,injured,0,0,0,23/09/22 | FS | club:4311 | opponent:7214 | 2:1 | injured,True,False,False,,False,roberto_lopes__cpv,Roberto Lopes,CPV,DEF,166158,https://www.transfermarkt.de/roberto-lopes/nationalmannschaft/spieler/166158/verein_id/4311
12/06/22,11,away,4311,5750,0:1,,FS,not in squad,0,0,0,12/06/22 | FS | club:4311 | opponent:5750 | 0:1 | not in squad,True,False,False,,False,roberto_lopes__cpv,Roberto Lopes,CPV,DEF,166158,https://www.transfermarkt.de/roberto-lopes/nationalmannschaft/spieler/166158/verein_id/4311
07/06/22,4,away,4311,3815,2:0,3,AFCQ,played,0,0,1,07/06/22 | AFCQ | club:4311 | opponent:3815 | 2:0 | played | 90',False,False,True,90.0,True,roberto_lopes__cpv,Roberto Lopes,CPV,DEF,166158,https://www.transfermarkt.de/roberto-lopes/nationalmannschaft/spieler/166158/verein_id/4311
03/06/22,3,away,4311,5872,0:2,3,AFCQ,played,0,0,0,03/06/22 | AFCQ | club:4311 | opponent:5872 | 0:2 | played | 90',False,False,True,90.0,True,roberto_lopes__cpv,Roberto Lopes,CPV,DEF,166158,https://www.transfermarkt.de/roberto-lopes/nationalmannschaft/spieler/166158/verein_id/4311
28/03/22,2,away,4311,10521,2:0,,FS,not in squad,0,0,0,28/03/22 | FS | club:4311 | opponent:10521 | 2:0 | not in squad,True,False,False,,False,roberto_lopes__cpv,Roberto Lopes,CPV,DEF,166158,https://www.transfermarkt.de/roberto-lopes/nationalmannschaft/spieler/166158/verein_id/4311
25/03/22,3,away,4311,5673,6:0,,FS,not in squad,0,0,0,25/03/22 | FS | club:4311 | opponent:5673 | 6:0 | not in squad,True,False,False,,False,roberto_lopes__cpv,Roberto Lopes,CPV,DEF,166158,https://www.transfermarkt.de/roberto-lopes/nationalmannschaft/spieler/166158/verein_id/4311
23/03/22,23,away,4311,19755,2:0,3,FS,played,0,0,0,23/03/22 | FS | club:4311 | opponent:19755 | 2:0 | played | 81',False,False,True,81.0,True,roberto_lopes__cpv,Roberto Lopes,CPV,DEF,166158,https://www.transfermarkt.de/roberto-lopes/nationalmannschaft/spieler/166158/verein_id/4311
25/01/22,4,away,4311,3499,0:2,3,AFCN,played,0,0,0,25/01/22 | AFCN | club:4311 | opponent:3499 | 0:2 | played | 45',False,False,True,45.0,True,roberto_lopes__cpv,Roberto Lopes,CPV,DEF,166158,https://www.transfermarkt.de/roberto-lopes/nationalmannschaft/spieler/166158/verein_id/4311
17/01/22,3,away,4311,3434,1:1,3,AFCN,played,0,0,0,17/01/22 | AFCN | club:4311 | opponent:3434 | 1:1 | played | 90',False,False,True,90.0,True,roberto_lopes__cpv,Roberto Lopes,CPV,DEF,166158,https://www.transfermarkt.de/roberto-lopes/nationalmannschaft/spieler/166158/verein_id/4311
13/01/22,2,away,4311,5872,0:1,3,AFCN,played,0,0,0,13/01/22 | AFCN | club:4311 | opponent:5872 | 0:1 | played | 90',False,False,True,90.0,True,roberto_lopes__cpv,Roberto Lopes,CPV,DEF,166158,https://www.transfermarkt.de/roberto-lopes/nationalmannschaft/spieler/166158/verein_id/4311
09/01/22,1,away,4311,13941,1:0,3,AFCN,played,0,0,0,09/01/22 | AFCN | club:4311 | opponent:13941 | 1:0 | played | 90',False,False,True,90.0,True,roberto_lopes__cpv,Roberto Lopes,CPV,DEF,166158,https://www.transfermarkt.de/roberto-lopes/nationalmannschaft/spieler/166158/verein_id/4311
