date,matchday,venue,for_team,opponent,result,position,competition,participation_state,goals,assists,yellow_cards,row_text,was_not_in_squad,was_on_bench,has_position,minutes_estimate,started_estimate,player_id,player_name,team_id,position_model,transfermarkt_player_id,source_url
02/06/26,9,away,3382,3556,2:0,,FS,in squad,0,0,0,02/06/26 | FS | club:3382 | opponent:3556 | 2:0 | in squad,False,False,False,,False,dodi_lukebakio__bel,Dodi Lukebakio,BEL,FWD,303259,https://www.transfermarkt.de/dodi-lukebakio/nationalmannschaft/spieler/303259/verein_id/3382
01/04/26,8,away,3382,6303,1:1,12,FS,played,1,0,0,01/04/26 | FS | club:3382 | opponent:6303 | 1:1 | played | 72',False,False,True,72.0,True,dodi_lukebakio__bel,Dodi Lukebakio,BEL,FWD,303259,https://www.transfermarkt.de/dodi-lukebakio/nationalmannschaft/spieler/303259/verein_id/3382
28/03/26,7,away,3382,3505,5:2,,FS,played,2,0,0,28/03/26 | FS | club:3382 | opponent:3505 | 5:2 | played | 28',False,False,True,28.0,False,dodi_lukebakio__bel,Dodi Lukebakio,BEL,FWD,303259,https://www.transfermarkt.de/dodi-lukebakio/nationalmannschaft/spieler/303259/verein_id/3382
18/11/25,10,home,3382,5673,7:0,12,WMQ6,played,0,0,0,18/11/25 | WMQ6 | club:3382 | opponent:5673 | 7:0 | played | 19',False,False,True,19.0,False,dodi_lukebakio__bel,Dodi Lukebakio,BEL,FWD,303259,https://www.transfermarkt.de/dodi-lukebakio/nationalmannschaft/spieler/303259/verein_id/3382
15/11/25,9,away,3382,9110,1:1,,WMQ6,in squad,0,0,0,15/11/25 | WMQ6 | club:3382 | opponent:9110 | 1:1 | in squad,False,False,False,,False,dodi_lukebakio__bel,Dodi Lukebakio,BEL,FWD,303259,https://www.transfermarkt.de/dodi-lukebakio/nationalmannschaft/spieler/303259/verein_id/3382
13/10/25,8,away,3382,3864,4:2,,WMQ6,in squad,0,0,0,13/10/25 | WMQ6 | club:3382 | opponent:3864 | 4:2 | in squad,False,False,False,,False,dodi_lukebakio__bel,Dodi Lukebakio,BEL,FWD,303259,https://www.transfermarkt.de/dodi-lukebakio/nationalmannschaft/spieler/303259/verein_id/3382
10/10/25,7,home,3382,5148,0:0,,WMQ6,in squad,0,0,0,10/10/25 | WMQ6 | club:3382 | opponent:5148 | 0:0 | in squad,False,False,False,,False,dodi_lukebakio__bel,Dodi Lukebakio,BEL,FWD,303259,https://www.transfermarkt.de/dodi-lukebakio/nationalmannschaft/spieler/303259/verein_id/3382
07/09/25,6,home,3382,9110,6:0,,WMQ6,injured,0,0,0,07/09/25 | WMQ6 | club:3382 | opponent:9110 | 6:0 | injured,True,False,False,,False,dodi_lukebakio__bel,Dodi Lukebakio,BEL,FWD,303259,https://www.transfermarkt.de/dodi-lukebakio/nationalmannschaft/spieler/303259/verein_id/3382
04/09/25,5,away,3382,5673,6:0,,WMQ6,injured,0,0,0,04/09/25 | WMQ6 | club:3382 | opponent:5673 | 6:0 | injured,True,False,False,,False,dodi_lukebakio__bel,Dodi Lukebakio,BEL,FWD,303259,https://www.transfermarkt.de/dodi-lukebakio/nationalmannschaft/spieler/303259/verein_id/3382
09/06/25,4,home,3382,3864,4:3,12,WMQ6,played,0,0,0,09/06/25 | WMQ6 | club:3382 | opponent:3864 | 4:3 | played | 29',False,False,True,29.0,False,dodi_lukebakio__bel,Dodi Lukebakio,BEL,FWD,303259,https://www.transfermarkt.de/dodi-lukebakio/nationalmannschaft/spieler/303259/verein_id/3382
