date,matchday,venue,for_team,opponent,result,position,competition,participation_state,goals,assists,yellow_cards,row_text,was_not_in_squad,was_on_bench,has_position,minutes_estimate,started_estimate,player_id,player_name,team_id,position_model,transfermarkt_player_id,source_url
03/06/26,9,away,3854,3436,0:0,,FS,played,0,0,0,03/06/26 | FS | club:3854 | opponent:3436 | 0:0 | played | 35',False,False,True,35.0,False,noah_sadiki__cod,Noah Sadiki,COD,MID,727089,https://www.transfermarkt.de/noah-sadiki/nationalmannschaft/spieler/727089/verein_id/3854
31/03/26,2,away,3854,3671,1:0,7,POWM,played,0,0,0,31/03/26 | POWM | club:3854 | opponent:3671 | 1:0 | played | 73',False,False,True,73.0,True,noah_sadiki__cod,Noah Sadiki,COD,MID,727089,https://www.transfermarkt.de/noah-sadiki/nationalmannschaft/spieler/727089/verein_id/3854
25/03/26,24,away,3854,15735,2:0,,FS,not in squad,0,0,0,25/03/26 | FS | club:3854 | opponent:15735 | 2:0 | not in squad,True,False,False,,False,noah_sadiki__cod,Noah Sadiki,COD,MID,727089,https://www.transfermarkt.de/noah-sadiki/nationalmannschaft/spieler/727089/verein_id/3854
06/01/26,4,away,3854,3614,0:1,7,AFCN,played,0,0,0,06/01/26 | AFCN | club:3854 | opponent:3614 | 0:1 | played | 70',False,False,True,70.0,True,noah_sadiki__cod,Noah Sadiki,COD,MID,727089,https://www.transfermarkt.de/noah-sadiki/nationalmannschaft/spieler/727089/verein_id/3854
30/12/25,3,away,3854,15229,3:0,6,AFCN,played,0,0,0,30/12/25 | AFCN | club:3854 | opponent:15229 | 3:0 | played | 16',False,False,True,16.0,False,noah_sadiki__cod,Noah Sadiki,COD,MID,727089,https://www.transfermarkt.de/noah-sadiki/nationalmannschaft/spieler/727089/verein_id/3854
27/12/25,2,away,3854,3499,1:1,7,AFCN,played,0,0,0,27/12/25 | AFCN | club:3854 | opponent:3499 | 1:1 | played | 90',False,False,True,90.0,True,noah_sadiki__cod,Noah Sadiki,COD,MID,727089,https://www.transfermarkt.de/noah-sadiki/nationalmannschaft/spieler/727089/verein_id/3854
23/12/25,1,away,3854,3955,1:0,7,AFCN,played,0,0,0,23/12/25 | AFCN | club:3854 | opponent:3955 | 1:0 | played | 90',False,False,True,90.0,True,noah_sadiki__cod,Noah Sadiki,COD,MID,727089,https://www.transfermarkt.de/noah-sadiki/nationalmannschaft/spieler/727089/verein_id/3854
16/12/25,20,away,3854,3703,2:0,,FS,in squad,0,0,0,16/12/25 | FS | club:3854 | opponent:3703 | 2:0 | in squad,False,False,False,,False,noah_sadiki__cod,Noah Sadiki,COD,MID,727089,https://www.transfermarkt.de/noah-sadiki/nationalmannschaft/spieler/727089/verein_id/3854
16/11/25,12,away,3854,3444,4:3,7,WMQ2,played,0,0,0,16/11/25 | WMQ2 | club:3854 | opponent:3444 | 4:3 | played | 120',False,False,True,120.0,True,noah_sadiki__cod,Noah Sadiki,COD,MID,727089,https://www.transfermarkt.de/noah-sadiki/nationalmannschaft/spieler/727089/verein_id/3854
13/11/25,11,away,3854,3434,1:0,7,WMQ2,played,0,0,0,13/11/25 | WMQ2 | club:3854 | opponent:3434 | 1:0 | played | 89',False,False,True,89.0,True,noah_sadiki__cod,Noah Sadiki,COD,MID,727089,https://www.transfermarkt.de/noah-sadiki/nationalmannschaft/spieler/727089/verein_id/3854
14/10/25,10,home,3854,13313,1:0,,WMQ2,not in squad,0,0,0,14/10/25 | WMQ2 | club:3854 | opponent:13313 | 1:0 | not in squad,True,False,False,,False,noah_sadiki__cod,Noah Sadiki,COD,MID,727089,https://www.transfermarkt.de/noah-sadiki/nationalmannschaft/spieler/727089/verein_id/3854
10/10/25,9,away,3854,3815,1:0,,WMQ2,not in squad,0,0,0,10/10/25 | WMQ2 | club:3854 | opponent:3815 | 1:0 | not in squad,True,False,False,,False,noah_sadiki__cod,Noah Sadiki,COD,MID,727089,https://www.transfermarkt.de/noah-sadiki/nationalmannschaft/spieler/727089/verein_id/3854
09/09/25,8,home,3854,3499,2:3,7,WMQ2,played,0,1,0,09/09/25 | WMQ2 | club:3854 | opponent:3499 | 2:3 | played | 74',False,False,True,74.0,True,noah_sadiki__cod,Noah Sadiki,COD,MID,727089,https://www.transfermarkt.de/noah-sadiki/nationalmannschaft/spieler/727089/verein_id/3854
05/09/25,7,away,3854,33192,4:1,7,WMQ2,played,0,0,0,05/09/25 | WMQ2 | club:3854 | opponent:33192 | 4:1 | played | 90',False,False,True,90.0,True,noah_sadiki__cod,Noah Sadiki,COD,MID,727089,https://www.transfermarkt.de/noah-sadiki/nationalmannschaft/spieler/727089/verein_id/3854
17/08/25,5,away,3854,3575,1:3,,CHAN,not in squad,0,0,0,17/08/25 | CHAN | club:3854 | opponent:3575 | 1:3 | not in squad,True,False,False,,False,noah_sadiki__cod,Noah Sadiki,COD,MID,727089,https://www.transfermarkt.de/noah-sadiki/nationalmannschaft/spieler/727089/verein_id/3854
14/08/25,4,away,3854,3585,2:0,,CHAN,not in squad,0,0,0,14/08/25 | CHAN | club:3854 | opponent:3585 | 2:0 | not in squad,True,False,False,,False,noah_sadiki__cod,Noah Sadiki,COD,MID,727089,https://www.transfermarkt.de/noah-sadiki/nationalmannschaft/spieler/727089/verein_id/3854
07/08/25,2,away,3854,3703,2:0,,CHAN,not in squad,0,0,0,07/08/25 | CHAN | club:3854 | opponent:3703 | 2:0 | not in squad,True,False,False,,False,noah_sadiki__cod,Noah Sadiki,COD,MID,727089,https://www.transfermarkt.de/noah-sadiki/nationalmannschaft/spieler/727089/verein_id/3854
03/08/25,1,away,3854,8987,0:1,,CHAN,not in squad,0,0,0,03/08/25 | CHAN | club:3854 | opponent:8987 | 0:1 | not in squad,True,False,False,,False,noah_sadiki__cod,Noah Sadiki,COD,MID,727089,https://www.transfermarkt.de/noah-sadiki/nationalmannschaft/spieler/727089/verein_id/3854
08/06/25,46,away,3854,14635,3:1,8,FS,played,0,0,0,08/06/25 | FS | club:3854 | opponent:14635 | 3:1 | played | 65',False,False,True,65.0,True,noah_sadiki__cod,Noah Sadiki,COD,MID,727089,https://www.transfermarkt.de/noah-sadiki/nationalmannschaft/spieler/727089/verein_id/3854
05/06/25,45,away,3854,3674,1:0,7,FS,played,0,0,0,05/06/25 | FS | club:3854 | opponent:3674 | 1:0 | played | 70',False,False,True,70.0,True,noah_sadiki__cod,Noah Sadiki,COD,MID,727089,https://www.transfermarkt.de/noah-sadiki/nationalmannschaft/spieler/727089/verein_id/3854
25/03/25,6,away,3854,14238,2:0,,WMQ2,played,0,0,0,25/03/25 | WMQ2 | club:3854 | opponent:14238 | 2:0 | played | 1',False,False,True,1.0,False,noah_sadiki__cod,Noah Sadiki,COD,MID,727089,https://www.transfermarkt.de/noah-sadiki/nationalmannschaft/spieler/727089/verein_id/3854
21/03/25,5,home,3854,33192,1:0,,WMQ2,in squad,0,0,0,21/03/25 | WMQ2 | club:3854 | opponent:33192 | 1:0 | in squad,False,False,False,,False,noah_sadiki__cod,Noah Sadiki,COD,MID,727089,https://www.transfermarkt.de/noah-sadiki/nationalmannschaft/spieler/727089/verein_id/3854
19/11/24,8,home,3854,13941,1:2,7,AFCQ,played,0,0,0,19/11/24 | AFCQ | club:3854 | opponent:13941 | 1:2 | played | 45',False,False,True,45.0,True,noah_sadiki__cod,Noah Sadiki,COD,MID,727089,https://www.transfermarkt.de/noah-sadiki/nationalmannschaft/spieler/727089/verein_id/3854
16/11/24,7,away,3854,3856,0:1,7,AFCQ,played,0,0,0,16/11/24 | AFCQ | club:3854 | opponent:3856 | 0:1 | played | 76',False,False,True,76.0,True,noah_sadiki__cod,Noah Sadiki,COD,MID,727089,https://www.transfermarkt.de/noah-sadiki/nationalmannschaft/spieler/727089/verein_id/3854
15/10/24,6,away,3854,14666,2:0,7,AFCQ,played,0,0,0,15/10/24 | AFCQ | club:3854 | opponent:14666 | 2:0 | played | 8',False,False,True,8.0,False,noah_sadiki__cod,Noah Sadiki,COD,MID,727089,https://www.transfermarkt.de/noah-sadiki/nationalmannschaft/spieler/727089/verein_id/3854
