player_id,player_name,team_id,position,price_m,transfermarkt_player_id,transfermarkt_profile_url,transfermarkt_national_url,transfermarkt_caps_goals_link_found,transfermarkt_table_source,tm_caps,tm_goals,tm_rows_total,tm_appeared_or_started_rows,tm_started_estimate_total,tm_on_bench_total,tm_not_in_squad_total,recent_20_started_estimate,recent_20_on_bench,recent_20_not_in_squad,recent_20_start_share,recent_10_start_share,last_national_row_date,national_team_usage_score,scraped_at
ederson_moraes__bra,Ederson Moraes,BRA,GK,5.0,238223,https://www.transfermarkt.com/ederson/profil/spieler/238223,https://www.transfermarkt.de/ederson/nationalmannschaft/spieler/238223/verein_id/3439,True,ceapi_performance_game,32.0,0.0,110,81,31,0,29,6,0,9,0.3,0.2,2026-05-31,0.343,2026-06-05T10:03:50
bento_krepski__bra,Bento Krepski,BRA,GK,5.0,691906,https://www.transfermarkt.com/bento/profil/spieler/691906,https://www.transfermarkt.de/bento/nationalmannschaft/spieler/691906/verein_id/3439,True,ceapi_performance_game,7.0,0.0,28,28,6,0,0,4,0,0,0.2,0.3,2026-04-01,0.213,2026-06-05T10:04:00
luis_suarez_charris__col,Luis Suarez Charris,COL,FWD,4.5,424784,https://www.transfermarkt.com/luis-suarez/profil/spieler/424784,https://www.transfermarkt.de/luis-suarez/nationalmannschaft/spieler/424784/verein_id/3816,True,ceapi_performance_game,11.0,5.0,70,17,6,0,53,5,0,9,0.25,0.5,2026-06-01,0.3065,2026-06-05T10:04:10
pablo_gavi__esp,Pablo Gavi,ESP,MID,4.0,646740,https://www.transfermarkt.com/gavi/profil/spieler/646740,https://www.transfermarkt.de/gavi/nationalmannschaft/spieler/646740/verein_id/3375,True,ceapi_performance_game,29.0,5.0,58,30,24,0,28,1,0,17,0.05,0.1,2026-06-04,0.1685,2026-06-05T10:04:22
juan_cucho_hernandez__col,Juan 'Cucho' Hernandez,COL,FWD,4.0,459463,https://www.transfermarkt.com/cucho-hernandez/profil/spieler/459463,https://www.transfermarkt.de/cucho-hernandez/nationalmannschaft/spieler/459463/verein_id/3816,True,ceapi_performance_game,8.0,2.0,87,11,5,0,76,3,0,14,0.15,0.2,2026-06-01,0.1645,2026-06-05T10:04:31
marc_pubill__esp,Marc Pubill,ESP,DEF,3.0,844637,https://www.transfermarkt.com/marc-pubill/profil/spieler/844637,https://www.transfermarkt.de/marc-pubill/nationalmannschaft/spieler/844637/verein_id/3375,True,ceapi_performance_game,1.0,0.0,1,1,0,0,0,0,0,0,0.0,0.0,2026-06-04,0.004,2026-06-05T10:04:45
oufa_shobeir__egy,Mostafa Oufa Shobeir,EGY,GK,2.5,661455,https://www.transfermarkt.com/oufa-shobeir/profil/spieler/661455,https://www.transfermarkt.de/oufa-shobeir/nationalmannschaft/spieler/661455/verein_id/3672,True,ceapi_performance_game,9.0,0.0,30,27,6,0,3,5,0,3,0.25,0.5,2026-05-28,0.2985,2026-06-05T10:04:55
mohammad_abu_shararh_zrayq__jor,Mohammad Abu 'Shararh' Zrayq,JOR,MID,2.5,677986,https://www.transfermarkt.com/shararh/profil/spieler/677986,https://www.transfermarkt.de/shararh/nationalmannschaft/spieler/677986/verein_id/15737,True,ceapi_performance_game,33.0,5.0,91,54,11,0,37,3,0,0,0.15,0.2,2026-05-31,0.2645,2026-06-05T10:05:04
matias_fernandez_pardo__bel,Matias Fernandez-Pardo,BEL,FWD,2.5,724129,https://www.transfermarkt.com/matias-fernandez-pardo/profil/spieler/724129,https://www.transfermarkt.de/matias-fernandez-pardo/nationalmannschaft/spieler/724129/verein_id/3382,True,ceapi_performance_game,1.0,0.0,1,1,0,0,0,0,0,0,0.0,0.0,2026-06-02,0.004,2026-06-05T10:05:16
lionel_mpasi_nzau__cod,Lionel Mpasi Nzau,COD,GK,2.5,164915,https://www.transfermarkt.com/lionel-mpasi-nzau/profil/spieler/164915,https://www.transfermarkt.de/lionel-mpasi-nzau/nationalmannschaft/spieler/164915/verein_id/3854,True,ceapi_performance_game,27.0,0.0,63,51,26,0,12,10,0,5,0.5,0.8,2026-06-03,0.583,2026-06-05T10:05:26
joao_paulo__cpv,Joao Paulo,CPV,DEF,2.5,623965,https://www.transfermarkt.com/joao-paulo/profil/spieler/623965,https://www.transfermarkt.de/joao-paulo/nationalmannschaft/spieler/623965/verein_id/4311,True,ceapi_performance_game,40.0,1.0,59,48,32,0,11,11,0,5,0.55,0.5,2026-05-31,0.5875,2026-06-05T10:05:35
carlos_rodriguez__mex,Carlos Rodriguez,MEX,MID,2.5,534620,https://www.transfermarkt.com/carlos-rodriguez/profil/spieler/534620,https://www.transfermarkt.de/carlos-rodriguez/nationalmannschaft/spieler/534620/verein_id/6303,True,ceapi_performance_game,68.0,0.0,120,91,39,0,29,2,0,3,0.1,0.1,2026-04-01,0.28,2026-06-05T10:05:44
cj_dos_santos__cpv,CJ Dos Santos,CPV,GK,2.5,532096,https://www.transfermarkt.com/cj-dos-santos/profil/spieler/532096,https://www.transfermarkt.de/cj-dos-santos/nationalmannschaft/spieler/532096/verein_id/4311,True,ceapi_performance_game,1.0,0.0,1,1,0,0,0,0,0,0,0.0,0.0,2026-05-31,0.004,2026-06-05T10:05:53
ange_yoan_bonny__civ,Ange-Yoan Bonny,CIV,FWD,2.5,827734,https://www.transfermarkt.com/ange-yoan-bonny/profil/spieler/827734,https://www.transfermarkt.de/ange-yoan-bonny/nationalmannschaft/spieler/827734/verein_id/3591,True,ceapi_performance_game,1.0,0.0,1,1,0,0,0,0,0,0,0.0,0.0,2026-06-04,0.004,2026-06-05T10:06:02
abdulaziz_hatim_mohammed__qat,Abdulaziz Hatim Mohammed,QAT,MID,2.5,113915,https://www.transfermarkt.com/abdulaziz-hatim/profil/spieler/113915,https://www.transfermarkt.de/abdulaziz-hatim/nationalmannschaft/spieler/113915/verein_id/14162,True,ceapi_performance_game,121.0,11.0,232,145,95,0,87,6,0,5,0.3,0.3,2026-05-28,0.44,2026-06-05T10:06:12
