date,matchday,venue,for_team,opponent,result,position,competition,participation_state,goals,assists,yellow_cards,row_text,was_not_in_squad,was_on_bench,has_position,minutes_estimate,started_estimate,player_id,player_name,team_id,position_model,transfermarkt_player_id,source_url
30/05/26,8,away,32364,3380,1:4,,FS,in squad,0,0,0,30/05/26 | FS | club:32364 | opponent:3380 | 1:4 | in squad,False,False,False,,False,roshon_van_eijma__cuw,Roshon van Eijma,CUW,DEF,401029,https://www.transfermarkt.de/roshon-van-eijma/nationalmannschaft/spieler/401029/verein_id/32364
31/03/26,32,away,32364,3433,1:5,3,FS,played,0,0,0,31/03/26 | FS | club:32364 | opponent:3433 | 1:5 | played | 90',False,False,True,90.0,True,roshon_van_eijma__cuw,Roshon van Eijma,CUW,DEF,401029,https://www.transfermarkt.de/roshon-van-eijma/nationalmannschaft/spieler/401029/verein_id/32364
27/03/26,7,away,32364,5598,0:2,,FS,played,0,0,0,27/03/26 | FS | club:32364 | opponent:5598 | 0:2 | played | 27',False,False,True,27.0,False,roshon_van_eijma__cuw,Roshon van Eijma,CUW,DEF,401029,https://www.transfermarkt.de/roshon-van-eijma/nationalmannschaft/spieler/401029/verein_id/32364
19/11/25,14,away,32364,3671,0:0,3,WMQ3,played,0,0,0,19/11/25 | WMQ3 | club:32364 | opponent:3671 | 0:0 | played | 90',False,False,True,90.0,True,roshon_van_eijma__cuw,Roshon van Eijma,CUW,DEF,401029,https://www.transfermarkt.de/roshon-van-eijma/nationalmannschaft/spieler/401029/verein_id/32364
13/11/25,13,away,32364,15735,7:0,3,WMQ3,played,1,0,0,13/11/25 | WMQ3 | club:32364 | opponent:15735 | 7:0 | played | 90',False,False,True,90.0,True,roshon_van_eijma__cuw,Roshon van Eijma,CUW,DEF,401029,https://www.transfermarkt.de/roshon-van-eijma/nationalmannschaft/spieler/401029/verein_id/32364
14/10/25,12,home,32364,7149,1:1,,WMQ3,in squad,0,0,0,14/10/25 | WMQ3 | club:32364 | opponent:7149 | 1:1 | in squad,False,False,False,,False,roshon_van_eijma__cuw,Roshon van Eijma,CUW,DEF,401029,https://www.transfermarkt.de/roshon-van-eijma/nationalmannschaft/spieler/401029/verein_id/32364
10/10/25,11,home,32364,3671,2:0,,WMQ3,played,0,0,0,10/10/25 | WMQ3 | club:32364 | opponent:3671 | 2:0 | played | 1',False,False,True,1.0,False,roshon_van_eijma__cuw,Roshon van Eijma,CUW,DEF,401029,https://www.transfermarkt.de/roshon-van-eijma/nationalmannschaft/spieler/401029/verein_id/32364
10/09/25,10,home,32364,15735,3:2,3,WMQ3,played,0,0,0,10/09/25 | WMQ3 | club:32364 | opponent:15735 | 3:2 | played | 90',False,False,True,90.0,True,roshon_van_eijma__cuw,Roshon van Eijma,CUW,DEF,401029,https://www.transfermarkt.de/roshon-van-eijma/nationalmannschaft/spieler/401029/verein_id/32364
06/09/25,9,away,32364,7149,0:0,3,WMQ3,played,0,0,0,06/09/25 | WMQ3 | club:32364 | opponent:7149 | 0:0 | played | 90',False,False,True,90.0,True,roshon_van_eijma__cuw,Roshon van Eijma,CUW,DEF,401029,https://www.transfermarkt.de/roshon-van-eijma/nationalmannschaft/spieler/401029/verein_id/32364
25/06/25,3,away,32364,3590,1:2,3,GOCU,played,0,0,0,25/06/25 | GOCU | club:32364 | opponent:3590 | 1:2 | played | 90',False,False,True,90.0,True,roshon_van_eijma__cuw,Roshon van Eijma,CUW,DEF,401029,https://www.transfermarkt.de/roshon-van-eijma/nationalmannschaft/spieler/401029/verein_id/32364
21/06/25,2,away,32364,3510,1:1,3,GOCU,played,0,0,0,21/06/25 | GOCU | club:32364 | opponent:3510 | 1:1 | played | 90',False,False,True,90.0,True,roshon_van_eijma__cuw,Roshon van Eijma,CUW,DEF,401029,https://www.transfermarkt.de/roshon-van-eijma/nationalmannschaft/spieler/401029/verein_id/32364
18/06/25,1,away,32364,13951,0:0,3,GOCU,played,0,0,0,18/06/25 | GOCU | club:32364 | opponent:13951 | 0:0 | played | 90',False,False,True,90.0,True,roshon_van_eijma__cuw,Roshon van Eijma,CUW,DEF,401029,https://www.transfermarkt.de/roshon-van-eijma/nationalmannschaft/spieler/401029/verein_id/32364
10/06/25,8,away,32364,14161,5:1,3,WMQ3,played,0,0,0,10/06/25 | WMQ3 | club:32364 | opponent:14161 | 5:1 | played | 90',False,False,True,90.0,True,roshon_van_eijma__cuw,Roshon van Eijma,CUW,DEF,401029,https://www.transfermarkt.de/roshon-van-eijma/nationalmannschaft/spieler/401029/verein_id/32364
06/06/25,7,home,32364,17761,4:0,3,WMQ3,played,0,0,0,06/06/25 | WMQ3 | club:32364 | opponent:17761 | 4:0 | played | 90',False,False,True,90.0,True,roshon_van_eijma__cuw,Roshon van Eijma,CUW,DEF,401029,https://www.transfermarkt.de/roshon-van-eijma/nationalmannschaft/spieler/401029/verein_id/32364
18/11/24,6,home,32364,17761,4:1,3,CNLB,played,0,0,0,18/11/24 | CNLB | club:32364 | opponent:17761 | 4:1 | played | 90',False,False,True,90.0,True,roshon_van_eijma__cuw,Roshon van Eijma,CUW,DEF,401029,https://www.transfermarkt.de/roshon-van-eijma/nationalmannschaft/spieler/401029/verein_id/32364
15/11/24,5,home,32364,38280,5:0,3,CNLB,played,0,0,0,15/11/24 | CNLB | club:32364 | opponent:38280 | 5:0 | played | 90',False,False,True,90.0,True,roshon_van_eijma__cuw,Roshon van Eijma,CUW,DEF,401029,https://www.transfermarkt.de/roshon-van-eijma/nationalmannschaft/spieler/401029/verein_id/32364
14/10/24,4,away,32364,14175,1:0,3,CNLB,played,0,0,1,14/10/24 | CNLB | club:32364 | opponent:14175 | 1:0 | played | 90',False,False,True,90.0,True,roshon_van_eijma__cuw,Roshon van Eijma,CUW,DEF,401029,https://www.transfermarkt.de/roshon-van-eijma/nationalmannschaft/spieler/401029/verein_id/32364
11/10/24,3,away,32364,14175,0:0,,CNLB,in squad,0,0,0,11/10/24 | CNLB | club:32364 | opponent:14175 | 0:0 | in squad,False,False,False,,False,roshon_van_eijma__cuw,Roshon van Eijma,CUW,DEF,401029,https://www.transfermarkt.de/roshon-van-eijma/nationalmannschaft/spieler/401029/verein_id/32364
09/09/24,2,away,32364,38280,4:0,3,CNLB,played,0,0,0,09/09/24 | CNLB | club:32364 | opponent:38280 | 4:0 | played | 90',False,False,True,90.0,True,roshon_van_eijma__cuw,Roshon van Eijma,CUW,DEF,401029,https://www.transfermarkt.de/roshon-van-eijma/nationalmannschaft/spieler/401029/verein_id/32364
