date,matchday,venue,for_team,opponent,result,position,competition,participation_state,goals,assists,yellow_cards,row_text,was_not_in_squad,was_on_bench,has_position,minutes_estimate,started_estimate,player_id,player_name,team_id,position_model,transfermarkt_player_id,source_url
07/06/26,16,away,5750,13342,3:0,,FS,not in squad,0,0,0,07/06/26 | FS | club:5750 | opponent:13342 | 3:0 | not in squad,True,False,False,,False,enner_valencia__ecu,Enner Valencia,ECU,FWD,139503,https://www.transfermarkt.de/enner-valencia/nationalmannschaft/spieler/139503/verein_id/5750
31/05/26,42,neutral,5750,3807,2:1,,FS,not in squad,0,0,0,31/05/26 | FS | club:5750 | opponent:3807 | 2:1 | not in squad,True,False,False,,False,enner_valencia__ecu,Enner Valencia,ECU,FWD,139503,https://www.transfermarkt.de/enner-valencia/nationalmannschaft/spieler/139503/verein_id/5750
31/03/26,8,away,5750,3379,1:1,14,FS,played,1,0,0,31/03/26 | FS | club:5750 | opponent:3379 | 1:1 | played | 89',False,False,True,89.0,True,enner_valencia__ecu,Enner Valencia,ECU,FWD,139503,https://www.transfermarkt.de/enner-valencia/nationalmannschaft/spieler/139503/verein_id/5750
27/03/26,13,neutral,5750,3575,1:1,14,FS,played,0,0,0,27/03/26 | FS | club:5750 | opponent:3575 | 1:1 | played | 77',False,False,True,77.0,True,enner_valencia__ecu,Enner Valencia,ECU,FWD,139503,https://www.transfermarkt.de/enner-valencia/nationalmannschaft/spieler/139503/verein_id/5750
19/11/25,6,away,5750,9171,2:0,,FS,not in squad,0,0,0,19/11/25 | FS | club:5750 | opponent:9171 | 2:0 | not in squad,True,False,False,,False,enner_valencia__ecu,Enner Valencia,ECU,FWD,139503,https://www.transfermarkt.de/enner-valencia/nationalmannschaft/spieler/139503/verein_id/5750
14/11/25,5,away,5750,3510,0:0,14,FS,played,0,0,0,14/11/25 | FS | club:5750 | opponent:3510 | 0:0 | played | 90',False,False,True,90.0,True,enner_valencia__ecu,Enner Valencia,ECU,FWD,139503,https://www.transfermarkt.de/enner-valencia/nationalmannschaft/spieler/139503/verein_id/5750
15/10/25,4,away,5750,6303,1:1,14,FS,played,0,1,0,15/10/25 | FS | club:5750 | opponent:6303 | 1:1 | played | 68',False,False,True,68.0,True,enner_valencia__ecu,Enner Valencia,ECU,FWD,139503,https://www.transfermarkt.de/enner-valencia/nationalmannschaft/spieler/139503/verein_id/5750
11/10/25,3,away,5750,3505,1:1,14,FS,played,1,0,0,11/10/25 | FS | club:5750 | opponent:3505 | 1:1 | played | 74',False,False,True,74.0,True,enner_valencia__ecu,Enner Valencia,ECU,FWD,139503,https://www.transfermarkt.de/enner-valencia/nationalmannschaft/spieler/139503/verein_id/5750
09/09/25,18,home,5750,3437,1:0,14,WMQ4,played,1,0,0,09/09/25 | WMQ4 | club:5750 | opponent:3437 | 1:0 | played | 59',False,False,True,59.0,True,enner_valencia__ecu,Enner Valencia,ECU,FWD,139503,https://www.transfermarkt.de/enner-valencia/nationalmannschaft/spieler/139503/verein_id/5750
04/09/25,17,away,5750,3581,0:0,14,WMQ4,played,0,0,0,04/09/25 | WMQ4 | club:5750 | opponent:3581 | 0:0 | played | 70',False,False,True,70.0,True,enner_valencia__ecu,Enner Valencia,ECU,FWD,139503,https://www.transfermarkt.de/enner-valencia/nationalmannschaft/spieler/139503/verein_id/5750
11/06/25,16,away,5750,3584,0:0,,WMQ4,played,0,0,0,11/06/25 | WMQ4 | club:5750 | opponent:3584 | 0:0 | played | 22',False,False,True,22.0,False,enner_valencia__ecu,Enner Valencia,ECU,FWD,139503,https://www.transfermarkt.de/enner-valencia/nationalmannschaft/spieler/139503/verein_id/5750
