date,matchday,venue,for_team,opponent,result,position,competition,participation_state,goals,assists,yellow_cards,row_text,was_not_in_squad,was_on_bench,has_position,minutes_estimate,started_estimate,player_id,player_name,team_id,position_model,transfermarkt_player_id,source_url
02/06/26,30,away,3441,3864,1:1,,FS,played,0,0,0,02/06/26 | FS | club:3441 | opponent:3864 | 1:1 | played | 45',False,False,True,45.0,False,kwasi_sibo__gha,Kwasi Sibo,GHA,MID,538006,https://www.transfermarkt.de/kwasi-sibo/nationalmannschaft/spieler/538006/verein_id/3441
23/05/26,28,away,3441,6303,0:2,,FS,not in squad,0,0,0,23/05/26 | FS | club:3441 | opponent:6303 | 0:2 | not in squad,True,False,False,,False,kwasi_sibo__gha,Kwasi Sibo,GHA,MID,538006,https://www.transfermarkt.de/kwasi-sibo/nationalmannschaft/spieler/538006/verein_id/3441
30/03/26,2,away,3441,3262,1:2,7,FS,played,0,0,0,30/03/26 | FS | club:3441 | opponent:3262 | 1:2 | played | 45',False,False,True,45.0,True,kwasi_sibo__gha,Kwasi Sibo,GHA,MID,538006,https://www.transfermarkt.de/kwasi-sibo/nationalmannschaft/spieler/538006/verein_id/3441
27/03/26,46,away,3441,3383,1:5,7,FS,played,0,0,1,27/03/26 | FS | club:3441 | opponent:3383 | 1:5 | played | 69',False,False,True,69.0,True,kwasi_sibo__gha,Kwasi Sibo,GHA,MID,538006,https://www.transfermarkt.de/kwasi-sibo/nationalmannschaft/spieler/538006/verein_id/3441
18/11/25,6,away,3441,3589,0:1,7,FS,played,0,0,0,18/11/25 | FS | club:3441 | opponent:3589 | 0:1 | played | 90',False,False,True,90.0,True,kwasi_sibo__gha,Kwasi Sibo,GHA,MID,538006,https://www.transfermarkt.de/kwasi-sibo/nationalmannschaft/spieler/538006/verein_id/3441
14/11/25,5,away,3441,3435,0:2,7,FS,played,0,0,0,14/11/25 | FS | club:3441 | opponent:3435 | 0:2 | played | 90',False,False,True,90.0,True,kwasi_sibo__gha,Kwasi Sibo,GHA,MID,538006,https://www.transfermarkt.de/kwasi-sibo/nationalmannschaft/spieler/538006/verein_id/3441
12/10/25,10,home,3441,16430,1:0,7,WMQ2,played,0,0,1,12/10/25 | WMQ2 | club:3441 | opponent:16430 | 1:0 | played | 75',False,False,True,75.0,True,kwasi_sibo__gha,Kwasi Sibo,GHA,MID,538006,https://www.transfermarkt.de/kwasi-sibo/nationalmannschaft/spieler/538006/verein_id/3441
08/10/25,9,away,3441,12933,5:0,7,WMQ2,played,0,0,0,08/10/25 | WMQ2 | club:3441 | opponent:12933 | 5:0 | played | 90',False,False,True,90.0,True,kwasi_sibo__gha,Kwasi Sibo,GHA,MID,538006,https://www.transfermarkt.de/kwasi-sibo/nationalmannschaft/spieler/538006/verein_id/3441
08/09/25,8,home,3441,3674,1:0,7,WMQ2,played,0,0,0,08/09/25 | WMQ2 | club:3441 | opponent:3674 | 1:0 | played | 90',False,False,True,90.0,True,kwasi_sibo__gha,Kwasi Sibo,GHA,MID,538006,https://www.transfermarkt.de/kwasi-sibo/nationalmannschaft/spieler/538006/verein_id/3441
