date,matchday,venue,for_team,opponent,result,position,competition,participation_state,goals,assists,yellow_cards,row_text,was_not_in_squad,was_on_bench,has_position,minutes_estimate,started_estimate,player_id,player_name,team_id,position_model,transfermarkt_player_id,source_url
05/06/26,6,home,6303,3438,5:1,,FS,in squad,0,0,0,05/06/26 | FS | club:6303 | opponent:3438 | 5:1 | in squad,False,False,False,,False,cesar_huerta__mex,Cesar Huerta,MEX,MID,540315,https://www.transfermarkt.de/cesar-huerta/nationalmannschaft/spieler/540315/verein_id/6303
31/05/26,29,home,6303,3433,1:0,,FS,played,0,0,1,31/05/26 | FS | club:6303 | opponent:3433 | 1:0 | played | 45',False,False,True,45.0,False,cesar_huerta__mex,Cesar Huerta,MEX,MID,540315,https://www.transfermarkt.de/cesar-huerta/nationalmannschaft/spieler/540315/verein_id/6303
23/05/26,28,home,6303,3441,2:0,,FS,injured,0,0,0,23/05/26 | FS | club:6303 | opponent:3441 | 2:0 | injured,True,False,False,,False,cesar_huerta__mex,Cesar Huerta,MEX,MID,540315,https://www.transfermarkt.de/cesar-huerta/nationalmannschaft/spieler/540315/verein_id/6303
01/04/26,8,away,6303,3382,1:1,,FS,injured,0,0,0,01/04/26 | FS | club:6303 | opponent:3382 | 1:1 | injured,True,False,False,,False,cesar_huerta__mex,Cesar Huerta,MEX,MID,540315,https://www.transfermarkt.de/cesar-huerta/nationalmannschaft/spieler/540315/verein_id/6303
29/03/26,7,home,6303,3300,0:0,,FS,injured,0,0,0,29/03/26 | FS | club:6303 | opponent:3300 | 0:0 | injured,True,False,False,,False,cesar_huerta__mex,Cesar Huerta,MEX,MID,540315,https://www.transfermarkt.de/cesar-huerta/nationalmannschaft/spieler/540315/verein_id/6303
26/02/26,31,home,6303,3574,4:0,,FS,injured,0,0,0,26/02/26 | FS | club:6303 | opponent:3574 | 4:0 | injured,True,False,False,,False,cesar_huerta__mex,Cesar Huerta,MEX,MID,540315,https://www.transfermarkt.de/cesar-huerta/nationalmannschaft/spieler/540315/verein_id/6303
25/01/26,30,away,6303,5233,1:0,,FS,injured,0,0,0,25/01/26 | FS | club:6303 | opponent:5233 | 1:0 | injured,True,False,False,,False,cesar_huerta__mex,Cesar Huerta,MEX,MID,540315,https://www.transfermarkt.de/cesar-huerta/nationalmannschaft/spieler/540315/verein_id/6303
23/01/26,52,away,6303,3577,1:0,,FS,injured,0,0,0,23/01/26 | FS | club:6303 | opponent:3577 | 1:0 | injured,True,False,False,,False,cesar_huerta__mex,Cesar Huerta,MEX,MID,540315,https://www.transfermarkt.de/cesar-huerta/nationalmannschaft/spieler/540315/verein_id/6303
19/11/25,6,away,6303,3581,1:2,,FS,injured,0,0,0,19/11/25 | FS | club:6303 | opponent:3581 | 1:2 | injured,True,False,False,,False,cesar_huerta__mex,Cesar Huerta,MEX,MID,540315,https://www.transfermarkt.de/cesar-huerta/nationalmannschaft/spieler/540315/verein_id/6303
16/11/25,6,home,6303,3449,0:0,,FS,injured,0,0,0,16/11/25 | FS | club:6303 | opponent:3449 | 0:0 | injured,True,False,False,,False,cesar_huerta__mex,Cesar Huerta,MEX,MID,540315,https://www.transfermarkt.de/cesar-huerta/nationalmannschaft/spieler/540315/verein_id/6303
15/10/25,4,home,6303,5750,1:1,,FS,played,0,0,0,15/10/25 | FS | club:6303 | opponent:5750 | 1:1 | played | 30',False,False,True,30.0,False,cesar_huerta__mex,Cesar Huerta,MEX,MID,540315,https://www.transfermarkt.de/cesar-huerta/nationalmannschaft/spieler/540315/verein_id/6303
12/10/25,4,away,6303,3816,0:4,,FS,in squad,0,0,0,12/10/25 | FS | club:6303 | opponent:3816 | 0:4 | in squad,False,False,False,,False,cesar_huerta__mex,Cesar Huerta,MEX,MID,540315,https://www.transfermarkt.de/cesar-huerta/nationalmannschaft/spieler/540315/verein_id/6303
10/09/25,2,away,6303,3589,2:2,,FS,not in squad,0,0,0,10/09/25 | FS | club:6303 | opponent:3589 | 2:2 | not in squad,True,False,False,,False,cesar_huerta__mex,Cesar Huerta,MEX,MID,540315,https://www.transfermarkt.de/cesar-huerta/nationalmannschaft/spieler/540315/verein_id/6303
07/09/25,6,away,6303,3435,0:0,,FS,not in squad,0,0,0,07/09/25 | FS | club:6303 | opponent:3435 | 0:0 | not in squad,True,False,False,,False,cesar_huerta__mex,Cesar Huerta,MEX,MID,540315,https://www.transfermarkt.de/cesar-huerta/nationalmannschaft/spieler/540315/verein_id/6303
06/07/25,6,away,6303,3505,2:1,,GOCU,played,0,0,0,06/07/25 | GOCU | club:6303 | opponent:3505 | 2:1 | played | 3',False,False,True,3.0,False,cesar_huerta__mex,Cesar Huerta,MEX,MID,540315,https://www.transfermarkt.de/cesar-huerta/nationalmannschaft/spieler/540315/verein_id/6303
03/07/25,5,away,6303,3590,1:0,,GOCU,played,0,0,0,03/07/25 | GOCU | club:6303 | opponent:3590 | 1:0 | played | 19',False,False,True,19.0,False,cesar_huerta__mex,Cesar Huerta,MEX,MID,540315,https://www.transfermarkt.de/cesar-huerta/nationalmannschaft/spieler/540315/verein_id/6303
29/06/25,4,away,6303,3807,2:0,,GOCU,in squad,0,0,0,29/06/25 | GOCU | club:6303 | opponent:3807 | 2:0 | in squad,False,False,False,,False,cesar_huerta__mex,Cesar Huerta,MEX,MID,540315,https://www.transfermarkt.de/cesar-huerta/nationalmannschaft/spieler/540315/verein_id/6303
23/06/25,3,away,6303,8497,0:0,,GOCU,played,0,0,0,23/06/25 | GOCU | club:6303 | opponent:8497 | 0:0 | played | 15',False,False,True,15.0,False,cesar_huerta__mex,Cesar Huerta,MEX,MID,540315,https://www.transfermarkt.de/cesar-huerta/nationalmannschaft/spieler/540315/verein_id/6303
19/06/25,2,away,6303,15359,2:0,,GOCU,played,0,0,0,19/06/25 | GOCU | club:6303 | opponent:15359 | 2:0 | played | 18',False,False,True,18.0,False,cesar_huerta__mex,Cesar Huerta,MEX,MID,540315,https://www.transfermarkt.de/cesar-huerta/nationalmannschaft/spieler/540315/verein_id/6303
15/06/25,1,away,6303,15232,3:2,,GOCU,played,0,0,0,15/06/25 | GOCU | club:6303 | opponent:15232 | 3:2 | played | 7',False,False,True,7.0,False,cesar_huerta__mex,Cesar Huerta,MEX,MID,540315,https://www.transfermarkt.de/cesar-huerta/nationalmannschaft/spieler/540315/verein_id/6303
11/06/25,8,away,6303,3381,1:0,11,FS,played,0,0,0,11/06/25 | FS | club:6303 | opponent:3381 | 1:0 | played | 28',False,False,True,28.0,False,cesar_huerta__mex,Cesar Huerta,MEX,MID,540315,https://www.transfermarkt.de/cesar-huerta/nationalmannschaft/spieler/540315/verein_id/6303
