date,matchday,venue,for_team,opponent,result,position,competition,participation_state,goals,assists,yellow_cards,row_text,was_not_in_squad,was_on_bench,has_position,minutes_estimate,started_estimate,player_id,player_name,team_id,position_model,transfermarkt_player_id,source_url
02/06/26,22,home,3575,14635,4:0,,FS,played,0,0,0,02/06/26 | FS | club:3575 | opponent:14635 | 4:0 | played | 45',False,False,True,45.0,False,samir_el_mourabet__mar,Samir El Mourabet,MAR,MID,1130514,https://www.transfermarkt.de/samir-el-mourabet/nationalmannschaft/spieler/1130514/verein_id/3575
26/05/26,21,home,3575,13943,5:0,,FS,in squad,0,0,0,26/05/26 | FS | club:3575 | opponent:13943 | 5:0 | in squad,False,False,False,,False,samir_el_mourabet__mar,Samir El Mourabet,MAR,MID,1130514,https://www.transfermarkt.de/samir-el-mourabet/nationalmannschaft/spieler/1130514/verein_id/3575
31/03/26,14,neutral,3575,3581,2:1,6,FS,played,0,0,0,31/03/26 | FS | club:3575 | opponent:3581 | 2:1 | played | 82',False,False,True,82.0,True,samir_el_mourabet__mar,Samir El Mourabet,MAR,MID,1130514,https://www.transfermarkt.de/samir-el-mourabet/nationalmannschaft/spieler/1130514/verein_id/3575
27/03/26,13,neutral,3575,5750,1:1,,FS,played,0,0,0,27/03/26 | FS | club:3575 | opponent:5750 | 1:1 | played | 9',False,False,True,9.0,False,samir_el_mourabet__mar,Samir El Mourabet,MAR,MID,1130514,https://www.transfermarkt.de/samir-el-mourabet/nationalmannschaft/spieler/1130514/verein_id/3575
