date,matchday,venue,for_team,opponent,result,position,competition,participation_state,goals,assists,yellow_cards,row_text,was_not_in_squad,was_on_bench,has_position,minutes_estimate,started_estimate,player_id,player_name,team_id,position_model,transfermarkt_player_id,source_url
05/06/26,42,away,3807,17759,3:0,,FS,not in squad,0,0,0,05/06/26 | FS | club:3807 | opponent:17759 | 3:0 | not in squad,True,False,False,,False,firas_al_buraikan__ksa,Firas Al-Buraikan,KSA,FWD,631922,https://www.transfermarkt.de/firas-al-buraikan/nationalmannschaft/spieler/631922/verein_id/3807
31/05/26,42,neutral,3807,5750,1:2,14,FS,played,0,0,0,31/05/26 | FS | club:3807 | opponent:5750 | 1:2 | played | 74',False,False,True,74.0,True,firas_al_buraikan__ksa,Firas Al-Buraikan,KSA,FWD,631922,https://www.transfermarkt.de/firas-al-buraikan/nationalmannschaft/spieler/631922/verein_id/3807
31/03/26,8,away,3807,3438,1:2,11,FS,played,0,0,0,31/03/26 | FS | club:3807 | opponent:3438 | 1:2 | played | 45',False,False,True,45.0,False,firas_al_buraikan__ksa,Firas Al-Buraikan,KSA,FWD,631922,https://www.transfermarkt.de/firas-al-buraikan/nationalmannschaft/spieler/631922/verein_id/3807
27/03/26,42,home,3807,3672,0:4,14,FS,played,0,0,0,27/03/26 | FS | club:3807 | opponent:3672 | 0:4 | played | 61',False,False,True,61.0,True,firas_al_buraikan__ksa,Firas Al-Buraikan,KSA,FWD,631922,https://www.transfermarkt.de/firas-al-buraikan/nationalmannschaft/spieler/631922/verein_id/3807
18/12/25,6,home,3807,5147,0:0,12,ARCP,played,0,0,0,18/12/25 | ARCP | club:3807 | opponent:5147 | 0:0 | played | 45',False,False,True,45.0,True,firas_al_buraikan__ksa,Firas Al-Buraikan,KSA,FWD,631922,https://www.transfermarkt.de/firas-al-buraikan/nationalmannschaft/spieler/631922/verein_id/3807
15/12/25,5,away,3807,15737,0:1,14,ARCP,played,0,0,0,15/12/25 | ARCP | club:3807 | opponent:15737 | 0:1 | played | 82',False,False,True,82.0,True,firas_al_buraikan__ksa,Firas Al-Buraikan,KSA,FWD,631922,https://www.transfermarkt.de/firas-al-buraikan/nationalmannschaft/spieler/631922/verein_id/3807
11/12/25,4,away,3807,17758,2:1,14,ARCP,played,1,0,1,11/12/25 | ARCP | club:3807 | opponent:17758 | 2:1 | played | 110',False,False,True,110.0,True,firas_al_buraikan__ksa,Firas Al-Buraikan,KSA,FWD,631922,https://www.transfermarkt.de/firas-al-buraikan/nationalmannschaft/spieler/631922/verein_id/3807
08/12/25,3,away,3807,3575,0:1,,ARCP,played,0,0,0,08/12/25 | ARCP | club:3807 | opponent:3575 | 0:1 | played | 29',False,False,True,29.0,False,firas_al_buraikan__ksa,Firas Al-Buraikan,KSA,FWD,631922,https://www.transfermarkt.de/firas-al-buraikan/nationalmannschaft/spieler/631922/verein_id/3807
05/12/25,2,away,3807,16430,3:1,14,ARCP,played,0,0,0,05/12/25 | ARCP | club:3807 | opponent:16430 | 3:1 | played | 81',False,False,True,81.0,True,firas_al_buraikan__ksa,Firas Al-Buraikan,KSA,FWD,631922,https://www.transfermarkt.de/firas-al-buraikan/nationalmannschaft/spieler/631922/verein_id/3807
02/12/25,1,neutral,3807,14165,2:1,14,ARCP,played,1,0,0,02/12/25 | ARCP | club:3807 | opponent:14165 | 2:1 | played | 76',False,False,True,76.0,True,firas_al_buraikan__ksa,Firas Al-Buraikan,KSA,FWD,631922,https://www.transfermarkt.de/firas-al-buraikan/nationalmannschaft/spieler/631922/verein_id/3807
18/11/25,6,home,3807,3614,0:2,14,FS,played,0,0,0,18/11/25 | FS | club:3807 | opponent:3614 | 0:2 | played | 90',False,False,True,90.0,True,firas_al_buraikan__ksa,Firas Al-Buraikan,KSA,FWD,631922,https://www.transfermarkt.de/firas-al-buraikan/nationalmannschaft/spieler/631922/verein_id/3807
14/11/25,5,home,3807,3591,1:0,14,FS,played,0,0,0,14/11/25 | FS | club:3807 | opponent:3591 | 1:0 | played | 90',False,False,True,90.0,True,firas_al_buraikan__ksa,Firas Al-Buraikan,KSA,FWD,631922,https://www.transfermarkt.de/firas-al-buraikan/nationalmannschaft/spieler/631922/verein_id/3807
