date,matchday,venue,for_team,opponent,result,position,competition,participation_state,goals,assists,yellow_cards,row_text,was_not_in_squad,was_on_bench,has_position,minutes_estimate,started_estimate,player_id,player_name,team_id,position_model,transfermarkt_player_id,source_url
04/06/26,6,home,3377,3591,1:2,,FS,in squad,0,0,0,04/06/26 | FS | club:3377 | opponent:3591 | 1:2 | in squad,False,False,False,,False,william_saliba__fra,William Saliba,FRA,DEF,495666,https://www.transfermarkt.de/william-saliba/nationalmannschaft/spieler/495666/verein_id/3377
29/03/26,7,away,3377,3816,3:1,,FS,injured,0,0,0,29/03/26 | FS | club:3377 | opponent:3816 | 3:1 | injured,True,False,False,,False,william_saliba__fra,William Saliba,FRA,DEF,495666,https://www.transfermarkt.de/william-saliba/nationalmannschaft/spieler/495666/verein_id/3377
26/03/26,7,away,3377,3439,2:1,,FS,injured,0,0,0,26/03/26 | FS | club:3377 | opponent:3439 | 2:1 | injured,True,False,False,,False,william_saliba__fra,William Saliba,FRA,DEF,495666,https://www.transfermarkt.de/william-saliba/nationalmannschaft/spieler/495666/verein_id/3377
16/11/25,10,away,3377,8605,3:1,,WMQ6,in squad,0,0,0,16/11/25 | WMQ6 | club:3377 | opponent:8605 | 3:1 | in squad,False,False,False,,False,william_saliba__fra,William Saliba,FRA,DEF,495666,https://www.transfermarkt.de/william-saliba/nationalmannschaft/spieler/495666/verein_id/3377
13/11/25,9,home,3377,3699,4:0,3,WMQ6,played,0,0,0,13/11/25 | WMQ6 | club:3377 | opponent:3699 | 4:0 | played | 90',False,False,True,90.0,True,william_saliba__fra,William Saliba,FRA,DEF,495666,https://www.transfermarkt.de/william-saliba/nationalmannschaft/spieler/495666/verein_id/3377
13/10/25,8,away,3377,3574,2:2,3,WMQ6,played,0,0,0,13/10/25 | WMQ6 | club:3377 | opponent:3574 | 2:2 | played | 90',False,False,True,90.0,True,william_saliba__fra,William Saliba,FRA,DEF,495666,https://www.transfermarkt.de/william-saliba/nationalmannschaft/spieler/495666/verein_id/3377
10/10/25,7,home,3377,8605,3:0,3,WMQ6,played,0,0,0,10/10/25 | WMQ6 | club:3377 | opponent:8605 | 3:0 | played | 90',False,False,True,90.0,True,william_saliba__fra,William Saliba,FRA,DEF,495666,https://www.transfermarkt.de/william-saliba/nationalmannschaft/spieler/495666/verein_id/3377
09/09/25,6,home,3377,3574,2:1,,WMQ6,injured,0,0,0,09/09/25 | WMQ6 | club:3377 | opponent:3574 | 2:1 | injured,True,False,False,,False,william_saliba__fra,William Saliba,FRA,DEF,495666,https://www.transfermarkt.de/william-saliba/nationalmannschaft/spieler/495666/verein_id/3377
05/09/25,5,away,3377,3699,2:0,,WMQ6,injured,0,0,0,05/09/25 | WMQ6 | club:3377 | opponent:3699 | 2:0 | injured,True,False,False,,False,william_saliba__fra,William Saliba,FRA,DEF,495666,https://www.transfermarkt.de/william-saliba/nationalmannschaft/spieler/495666/verein_id/3377
08/06/25,4,away,3377,3262,2:0,,UNFI,not in squad,0,0,0,08/06/25 | UNFI | club:3377 | opponent:3262 | 2:0 | not in squad,True,False,False,,False,william_saliba__fra,William Saliba,FRA,DEF,495666,https://www.transfermarkt.de/william-saliba/nationalmannschaft/spieler/495666/verein_id/3377
05/06/25,3,away,3377,3375,4:5,,UNFI,not in squad,0,0,0,05/06/25 | UNFI | club:3377 | opponent:3375 | 4:5 | not in squad,True,False,False,,False,william_saliba__fra,William Saliba,FRA,DEF,495666,https://www.transfermarkt.de/william-saliba/nationalmannschaft/spieler/495666/verein_id/3377
23/03/25,2,home,3377,3556,7:4,3,UNFI,played,0,0,0,23/03/25 | UNFI | club:3377 | opponent:3556 | 7:4 | played | 120',False,False,True,120.0,True,william_saliba__fra,William Saliba,FRA,DEF,495666,https://www.transfermarkt.de/william-saliba/nationalmannschaft/spieler/495666/verein_id/3377
20/03/25,1,away,3377,3556,0:2,3,UNFI,played,0,0,0,20/03/25 | UNFI | club:3377 | opponent:3556 | 0:2 | played | 90',False,False,True,90.0,True,william_saliba__fra,William Saliba,FRA,DEF,495666,https://www.transfermarkt.de/william-saliba/nationalmannschaft/spieler/495666/verein_id/3377
17/11/24,6,away,3377,3376,3:1,3,UNLA,played,0,0,0,17/11/24 | UNLA | club:3377 | opponent:3376 | 3:1 | played | 90',False,False,True,90.0,True,william_saliba__fra,William Saliba,FRA,DEF,495666,https://www.transfermarkt.de/william-saliba/nationalmannschaft/spieler/495666/verein_id/3377
14/11/24,5,home,3377,5547,0:0,,UNLA,in squad,0,0,0,14/11/24 | UNLA | club:3377 | opponent:5547 | 0:0 | in squad,False,False,False,,False,william_saliba__fra,William Saliba,FRA,DEF,495666,https://www.transfermarkt.de/william-saliba/nationalmannschaft/spieler/495666/verein_id/3377
14/10/24,4,away,3377,3382,2:1,3,UNLA,played,0,0,1,14/10/24 | UNLA | club:3377 | opponent:3382 | 2:1 | played | 90',False,False,True,90.0,True,william_saliba__fra,William Saliba,FRA,DEF,495666,https://www.transfermarkt.de/william-saliba/nationalmannschaft/spieler/495666/verein_id/3377
10/10/24,3,away,3377,5547,4:1,3,UNLA,played,0,0,0,10/10/24 | UNLA | club:3377 | opponent:5547 | 4:1 | played | 90',False,False,True,90.0,True,william_saliba__fra,William Saliba,FRA,DEF,495666,https://www.transfermarkt.de/william-saliba/nationalmannschaft/spieler/495666/verein_id/3377
09/09/24,2,home,3377,3382,2:0,3,UNLA,played,0,0,0,09/09/24 | UNLA | club:3377 | opponent:3382 | 2:0 | played | 90',False,False,True,90.0,True,william_saliba__fra,William Saliba,FRA,DEF,495666,https://www.transfermarkt.de/william-saliba/nationalmannschaft/spieler/495666/verein_id/3377
06/09/24,1,home,3377,3376,1:3,3,UNLA,played,0,0,0,06/09/24 | UNLA | club:3377 | opponent:3376 | 1:3 | played | 90',False,False,True,90.0,True,william_saliba__fra,William Saliba,FRA,DEF,495666,https://www.transfermarkt.de/william-saliba/nationalmannschaft/spieler/495666/verein_id/3377
09/07/24,6,away,3377,3375,1:2,3,EURO,played,0,0,0,09/07/24 | EURO | club:3377 | opponent:3375 | 1:2 | played | 90',False,False,True,90.0,True,william_saliba__fra,William Saliba,FRA,DEF,495666,https://www.transfermarkt.de/william-saliba/nationalmannschaft/spieler/495666/verein_id/3377
05/07/24,5,away,3377,3300,5:3,3,EURO,played,0,0,1,05/07/24 | EURO | club:3377 | opponent:3300 | 5:3 | played | 120',False,False,True,120.0,True,william_saliba__fra,William Saliba,FRA,DEF,495666,https://www.transfermarkt.de/william-saliba/nationalmannschaft/spieler/495666/verein_id/3377
