date,matchday,venue,for_team,opponent,result,position,competition,participation_state,goals,assists,yellow_cards,row_text,was_not_in_squad,was_on_bench,has_position,minutes_estimate,started_estimate,player_id,player_name,team_id,position_model,transfermarkt_player_id,source_url
03/06/26,9,away,3854,3436,0:0,14,FS,played,0,0,0,03/06/26 | FS | club:3854 | opponent:3436 | 0:0 | played | 87',False,False,True,87.0,True,yoane_wissa__cod,Yoane Wissa,COD,FWD,388165,https://www.transfermarkt.de/yoane-wissa/nationalmannschaft/spieler/388165/verein_id/3854
31/03/26,2,away,3854,3671,1:0,10,POWM,played,0,0,0,31/03/26 | POWM | club:3854 | opponent:3671 | 1:0 | played | 90',False,False,True,90.0,True,yoane_wissa__cod,Yoane Wissa,COD,FWD,388165,https://www.transfermarkt.de/yoane-wissa/nationalmannschaft/spieler/388165/verein_id/3854
25/03/26,24,away,3854,15735,2:0,,FS,not in squad,0,0,0,25/03/26 | FS | club:3854 | opponent:15735 | 2:0 | not in squad,True,False,False,,False,yoane_wissa__cod,Yoane Wissa,COD,FWD,388165,https://www.transfermarkt.de/yoane-wissa/nationalmannschaft/spieler/388165/verein_id/3854
06/01/26,4,away,3854,3614,0:1,,AFCN,not in squad,0,0,0,06/01/26 | AFCN | club:3854 | opponent:3614 | 0:1 | not in squad,True,False,False,,False,yoane_wissa__cod,Yoane Wissa,COD,FWD,388165,https://www.transfermarkt.de/yoane-wissa/nationalmannschaft/spieler/388165/verein_id/3854
30/12/25,3,away,3854,15229,3:0,,AFCN,not in squad,0,0,0,30/12/25 | AFCN | club:3854 | opponent:15229 | 3:0 | not in squad,True,False,False,,False,yoane_wissa__cod,Yoane Wissa,COD,FWD,388165,https://www.transfermarkt.de/yoane-wissa/nationalmannschaft/spieler/388165/verein_id/3854
27/12/25,2,away,3854,3499,1:1,,AFCN,not in squad,0,0,0,27/12/25 | AFCN | club:3854 | opponent:3499 | 1:1 | not in squad,True,False,False,,False,yoane_wissa__cod,Yoane Wissa,COD,FWD,388165,https://www.transfermarkt.de/yoane-wissa/nationalmannschaft/spieler/388165/verein_id/3854
23/12/25,1,away,3854,3955,1:0,,AFCN,not in squad,0,0,0,23/12/25 | AFCN | club:3854 | opponent:3955 | 1:0 | not in squad,True,False,False,,False,yoane_wissa__cod,Yoane Wissa,COD,FWD,388165,https://www.transfermarkt.de/yoane-wissa/nationalmannschaft/spieler/388165/verein_id/3854
16/12/25,20,away,3854,3703,2:0,,FS,not in squad,0,0,0,16/12/25 | FS | club:3854 | opponent:3703 | 2:0 | not in squad,True,False,False,,False,yoane_wissa__cod,Yoane Wissa,COD,FWD,388165,https://www.transfermarkt.de/yoane-wissa/nationalmannschaft/spieler/388165/verein_id/3854
16/11/25,12,away,3854,3444,4:3,,WMQ2,injured,0,0,0,16/11/25 | WMQ2 | club:3854 | opponent:3444 | 4:3 | injured,True,False,False,,False,yoane_wissa__cod,Yoane Wissa,COD,FWD,388165,https://www.transfermarkt.de/yoane-wissa/nationalmannschaft/spieler/388165/verein_id/3854
13/11/25,11,away,3854,3434,1:0,,WMQ2,injured,0,0,0,13/11/25 | WMQ2 | club:3854 | opponent:3434 | 1:0 | injured,True,False,False,,False,yoane_wissa__cod,Yoane Wissa,COD,FWD,388165,https://www.transfermarkt.de/yoane-wissa/nationalmannschaft/spieler/388165/verein_id/3854
