date,matchday,venue,for_team,opponent,result,position,competition,participation_state,goals,assists,yellow_cards,row_text,was_not_in_squad,was_on_bench,has_position,minutes_estimate,started_estimate,player_id,player_name,team_id,position_model,transfermarkt_player_id,source_url
14/01/26,6,home,3575,3444,4:2,,AFCN,played,0,0,0,14/01/26 | AFCN | club:3575 | opponent:3444 | 4:2 | played | 2',False,False,True,2.0,False,eliesse_ben_seghir__mar,Eliesse Ben Seghir,MAR,MID,810895,https://www.transfermarkt.de/eliesse-ben-seghir/nationalmannschaft/spieler/810895/verein_id/3575
09/01/26,5,home,3575,3434,2:0,,AFCN,in squad,0,0,0,09/01/26 | AFCN | club:3575 | opponent:3434 | 2:0 | in squad,False,False,False,,False,eliesse_ben_seghir__mar,Eliesse Ben Seghir,MAR,MID,810895,https://www.transfermarkt.de/eliesse-ben-seghir/nationalmannschaft/spieler/810895/verein_id/3575
04/01/26,4,home,3575,14666,1:0,,AFCN,played,0,0,0,04/01/26 | AFCN | club:3575 | opponent:14666 | 1:0 | played | 13',False,False,True,13.0,False,eliesse_ben_seghir__mar,Eliesse Ben Seghir,MAR,MID,810895,https://www.transfermarkt.de/eliesse-ben-seghir/nationalmannschaft/spieler/810895/verein_id/3575
29/12/25,3,home,3575,3703,3:0,,AFCN,played,0,0,0,29/12/25 | AFCN | club:3575 | opponent:3703 | 3:0 | played | 26',False,False,True,26.0,False,eliesse_ben_seghir__mar,Eliesse Ben Seghir,MAR,MID,810895,https://www.transfermarkt.de/eliesse-ben-seghir/nationalmannschaft/spieler/810895/verein_id/3575
26/12/25,2,home,3575,3674,1:1,,AFCN,played,0,0,0,26/12/25 | AFCN | club:3575 | opponent:3674 | 1:1 | played | 8',False,False,True,8.0,False,eliesse_ben_seghir__mar,Eliesse Ben Seghir,MAR,MID,810895,https://www.transfermarkt.de/eliesse-ben-seghir/nationalmannschaft/spieler/810895/verein_id/3575
21/12/25,1,home,3575,16430,2:0,,AFCN,in squad,0,0,0,21/12/25 | AFCN | club:3575 | opponent:16430 | 2:0 | in squad,False,False,False,,False,eliesse_ben_seghir__mar,Eliesse Ben Seghir,MAR,MID,810895,https://www.transfermarkt.de/eliesse-ben-seghir/nationalmannschaft/spieler/810895/verein_id/3575
18/12/25,7,away,3575,15737,3:2,,ARCP,absent,0,0,0,18/12/25 | ARCP | club:3575 | opponent:15737 | 3:2 | absent,True,False,False,,False,eliesse_ben_seghir__mar,Eliesse Ben Seghir,MAR,MID,810895,https://www.transfermarkt.de/eliesse-ben-seghir/nationalmannschaft/spieler/810895/verein_id/3575
15/12/25,5,away,3575,5147,3:0,,ARCP,absent,0,0,0,15/12/25 | ARCP | club:3575 | opponent:5147 | 3:0 | absent,True,False,False,,False,eliesse_ben_seghir__mar,Eliesse Ben Seghir,MAR,MID,810895,https://www.transfermarkt.de/eliesse-ben-seghir/nationalmannschaft/spieler/810895/verein_id/3575
11/12/25,4,away,3575,13674,1:0,,ARCP,not in squad,0,0,0,11/12/25 | ARCP | club:3575 | opponent:13674 | 1:0 | not in squad,True,False,False,,False,eliesse_ben_seghir__mar,Eliesse Ben Seghir,MAR,MID,810895,https://www.transfermarkt.de/eliesse-ben-seghir/nationalmannschaft/spieler/810895/verein_id/3575
08/12/25,3,away,3575,3807,1:0,,ARCP,not in squad,0,0,0,08/12/25 | ARCP | club:3575 | opponent:3807 | 1:0 | not in squad,True,False,False,,False,eliesse_ben_seghir__mar,Eliesse Ben Seghir,MAR,MID,810895,https://www.transfermarkt.de/eliesse-ben-seghir/nationalmannschaft/spieler/810895/verein_id/3575
05/12/25,2,away,3575,14165,0:0,,ARCP,not in squad,0,0,0,05/12/25 | ARCP | club:3575 | opponent:14165 | 0:0 | not in squad,True,False,False,,False,eliesse_ben_seghir__mar,Eliesse Ben Seghir,MAR,MID,810895,https://www.transfermarkt.de/eliesse-ben-seghir/nationalmannschaft/spieler/810895/verein_id/3575
02/12/25,1,neutral,3575,16430,3:1,,ARCP,not in squad,0,0,0,02/12/25 | ARCP | club:3575 | opponent:16430 | 3:1 | not in squad,True,False,False,,False,eliesse_ben_seghir__mar,Eliesse Ben Seghir,MAR,MID,810895,https://www.transfermarkt.de/eliesse-ben-seghir/nationalmannschaft/spieler/810895/verein_id/3575
