date,matchday,venue,for_team,opponent,result,position,competition,participation_state,goals,assists,yellow_cards,row_text,was_not_in_squad,was_on_bench,has_position,minutes_estimate,started_estimate,player_id,player_name,team_id,position_model,transfermarkt_player_id,source_url
19/11/25,6,away,3581,6303,2:1,,FS,in squad,0,0,0,19/11/25 | FS | club:3581 | opponent:6303 | 2:1 | in squad,False,False,False,,False,ronaldo_mart_nez__par,Ronaldo Martinez,PAR,FWD,567736,https://www.transfermarkt.de/ronaldo-martinez/nationalmannschaft/spieler/567736/verein_id/3581
15/11/25,5,away,3581,3505,1:2,,FS,in squad,0,0,0,15/11/25 | FS | club:3581 | opponent:3505 | 1:2 | in squad,False,False,False,,False,ronaldo_mart_nez__par,Ronaldo Martinez,PAR,FWD,567736,https://www.transfermarkt.de/ronaldo-martinez/nationalmannschaft/spieler/567736/verein_id/3581
14/10/25,3,away,3581,3589,0:2,14,FS,played,0,0,0,14/10/25 | FS | club:3581 | opponent:3589 | 0:2 | played | 62',False,False,True,62.0,True,ronaldo_mart_nez__par,Ronaldo Martinez,PAR,FWD,567736,https://www.transfermarkt.de/ronaldo-martinez/nationalmannschaft/spieler/567736/verein_id/3581
10/10/25,5,away,3581,3435,2:2,,FS,played,0,0,0,10/10/25 | FS | club:3581 | opponent:3435 | 2:2 | played | 11',False,False,True,11.0,False,ronaldo_mart_nez__par,Ronaldo Martinez,PAR,FWD,567736,https://www.transfermarkt.de/ronaldo-martinez/nationalmannschaft/spieler/567736/verein_id/3581
09/09/25,18,away,3581,3584,1:0,14,WMQ4,played,0,0,0,09/09/25 | WMQ4 | club:3581 | opponent:3584 | 1:0 | played | 45',False,False,True,45.0,True,ronaldo_mart_nez__par,Ronaldo Martinez,PAR,FWD,567736,https://www.transfermarkt.de/ronaldo-martinez/nationalmannschaft/spieler/567736/verein_id/3581
04/09/25,17,home,3581,5750,0:0,14,WMQ4,played,0,0,0,04/09/25 | WMQ4 | club:3581 | opponent:5750 | 0:0 | played | 61',False,False,True,61.0,True,ronaldo_mart_nez__par,Ronaldo Martinez,PAR,FWD,567736,https://www.transfermarkt.de/ronaldo-martinez/nationalmannschaft/spieler/567736/verein_id/3581
