date,matchday,venue,for_team,opponent,result,position,competition,participation_state,goals,assists,yellow_cards,row_text,was_not_in_squad,was_on_bench,has_position,minutes_estimate,started_estimate,player_id,player_name,team_id,position_model,transfermarkt_player_id,source_url
09/06/26,18,away,3375,3584,3:1,3,FS,played,0,1,0,09/06/26 | FS | club:3375 | opponent:3584 | 3:1 | played | 61',False,False,True,61.0,True,pau_cubars__esp,Pau Cubarsi,ESP,DEF,962110,https://www.transfermarkt.de/pau-cubarsi/nationalmannschaft/spieler/962110/verein_id/3375
04/06/26,13,home,3375,3560,1:1,,FS,in squad,0,0,0,04/06/26 | FS | club:3375 | opponent:3560 | 1:1 | in squad,False,False,False,,False,pau_cubars__esp,Pau Cubarsi,ESP,DEF,962110,https://www.transfermarkt.de/pau-cubarsi/nationalmannschaft/spieler/962110/verein_id/3375
31/03/26,13,home,3375,3672,0:0,,FS,in squad,0,0,0,31/03/26 | FS | club:3375 | opponent:3672 | 0:0 | in squad,False,False,False,,False,pau_cubars__esp,Pau Cubarsi,ESP,DEF,962110,https://www.transfermarkt.de/pau-cubarsi/nationalmannschaft/spieler/962110/verein_id/3375
27/03/26,11,home,3375,3438,3:0,3,FS,played,0,1,0,27/03/26 | FS | club:3375 | opponent:3438 | 3:0 | played | 83',False,False,True,83.0,True,pau_cubars__esp,Pau Cubarsi,ESP,DEF,962110,https://www.transfermarkt.de/pau-cubarsi/nationalmannschaft/spieler/962110/verein_id/3375
27/03/26,1,away,3375,3437,0:0,,AFT,not in squad,0,0,0,27/03/26 | AFT | club:3375 | opponent:3437 | 0:0 | not in squad,True,False,False,,False,pau_cubars__esp,Pau Cubarsi,ESP,DEF,962110,https://www.transfermarkt.de/pau-cubarsi/nationalmannschaft/spieler/962110/verein_id/3375
18/11/25,10,home,3375,3381,2:2,3,WMQ6,played,0,0,0,18/11/25 | WMQ6 | club:3375 | opponent:3381 | 2:2 | played | 90',False,False,True,90.0,True,pau_cubars__esp,Pau Cubarsi,ESP,DEF,962110,https://www.transfermarkt.de/pau-cubarsi/nationalmannschaft/spieler/962110/verein_id/3375
15/11/25,9,away,3375,3669,4:0,3,WMQ6,played,0,0,0,15/11/25 | WMQ6 | club:3375 | opponent:3669 | 4:0 | played | 90',False,False,True,90.0,True,pau_cubars__esp,Pau Cubarsi,ESP,DEF,962110,https://www.transfermarkt.de/pau-cubarsi/nationalmannschaft/spieler/962110/verein_id/3375
14/10/25,8,home,3375,3394,4:0,,WMQ6,in squad,0,0,0,14/10/25 | WMQ6 | club:3375 | opponent:3394 | 4:0 | in squad,False,False,False,,False,pau_cubars__esp,Pau Cubarsi,ESP,DEF,962110,https://www.transfermarkt.de/pau-cubarsi/nationalmannschaft/spieler/962110/verein_id/3375
11/10/25,7,home,3375,3669,2:0,3,WMQ6,played,0,0,0,11/10/25 | WMQ6 | club:3375 | opponent:3669 | 2:0 | played | 90',False,False,True,90.0,True,pau_cubars__esp,Pau Cubarsi,ESP,DEF,962110,https://www.transfermarkt.de/pau-cubarsi/nationalmannschaft/spieler/962110/verein_id/3375
07/09/25,6,away,3375,3381,6:0,,WMQ6,in squad,0,0,0,07/09/25 | WMQ6 | club:3375 | opponent:3381 | 6:0 | in squad,False,False,False,,False,pau_cubars__esp,Pau Cubarsi,ESP,DEF,962110,https://www.transfermarkt.de/pau-cubarsi/nationalmannschaft/spieler/962110/verein_id/3375
04/09/25,5,away,3375,3394,3:0,3,WMQ6,played,0,0,0,04/09/25 | WMQ6 | club:3375 | opponent:3394 | 3:0 | played | 45',False,False,True,45.0,False,pau_cubars__esp,Pau Cubarsi,ESP,DEF,962110,https://www.transfermarkt.de/pau-cubarsi/nationalmannschaft/spieler/962110/verein_id/3375
08/06/25,5,away,3375,3300,5:7,,UNFI,in squad,0,0,0,08/06/25 | UNFI | club:3375 | opponent:3300 | 5:7 | in squad,False,False,False,,False,pau_cubars__esp,Pau Cubarsi,ESP,DEF,962110,https://www.transfermarkt.de/pau-cubarsi/nationalmannschaft/spieler/962110/verein_id/3375
05/06/25,3,away,3375,3377,5:4,,UNFI,in squad,0,0,0,05/06/25 | UNFI | club:3375 | opponent:3377 | 5:4 | in squad,False,False,False,,False,pau_cubars__esp,Pau Cubarsi,ESP,DEF,962110,https://www.transfermarkt.de/pau-cubarsi/nationalmannschaft/spieler/962110/verein_id/3375
